,PC1,PC2,PC3
1,-20.22220673242588,-7.18890800621317,-3.1719129248800146
2,-20.21171282872299,-6.9785758969156095,-4.4252704050521965
3,-22.03346170774302,-7.918383323384712,-6.71339152569075
4,-24.361934215773896,-4.1442274482276975,-3.5102964089732986
5,-24.401983084089245,-4.853944423753155,-3.534296819333621
6,-22.814301191841665,-4.204605700230086,-3.7112058616211745
7,-23.26826430228052,-4.354010014360169,-3.060792498414061
8,-20.35442548101528,-2.8653037517083466,-2.1126387986738697
9,-22.315499495814784,-3.215520291228883,1.22985662932552
10,-23.122743605103764,-1.0313414062593,0.6990043135379742
11,-24.02993063927011,-1.4083642042709914,-0.08011587009962313
12,-23.5164700050726,-2.804540795145959,0.3192476213310739
13,-21.03645422167166,-2.3596061223980485,0.5666293670798715
14,-21.63936145434296,-1.7879963219561334,1.663497263200134
15,-23.582989329646107,-3.26138297108407,-0.33840845883104403
16,-25.262132481265596,-4.149286154477874,1.3561674592021846
17,-26.41617474533321,-2.943353537954556,-0.6205076941109468
18,-27.766586363681704,-5.222599205306664,-0.9250906011017596
19,-29.610970342138867,-4.515126091935623,-0.14385149912112674
20,-30.397287781083318,-5.699250542067915,-2.738647689359367
21,-29.331750800912214,-4.455423013445006,-3.6675516697001163
22,-27.41071702110709,-4.49329218518084,-1.9042177521096968
23,-28.4370451542844,-5.647659664686624,-0.952150485649084
24,-30.747964170763492,-6.830990389650937,-1.2961822511818848
25,-31.582316890335342,-8.15376637144141,-3.0456849247577247
26,-32.883114387002884,-8.112383559103185,-4.315282371423088
27,-34.35763595648535,-9.062878711294093,-5.1595564391060265
28,-31.56393689668348,-7.124669747739283,-5.479285181475466
29,-31.30344817987825,-5.791445739893685,-5.631121422025394
30,-35.28686013625605,-9.182311796921685,-7.257138139686452
31,-32.72939845491321,-7.623229049379513,-7.512616408232584
32,-32.778189840804686,-11.901317924070828,-11.35509786738354
33,-37.068855734768654,-14.15184883200165,-11.128604599740292
34,-35.87196097934749,-16.469112969599102,-9.561432614873201
35,-34.89037819154684,-9.778448005309611,-7.930567043005854
36,-34.41591794682094,-8.44774767708617,-6.047435091425042
37,-36.24132986147399,-12.968215101216119,-5.969975090934474
38,-34.34319519683293,-10.553942662884719,-3.8388963898376476
39,-34.44908077824997,-13.324496060505288,-5.660628330014864
40,-32.465645994981095,-9.25350884175984,-6.750926543336043
41,-34.96109005084902,-13.266704111414024,-5.1603415935070815
42,-33.09276562890665,-10.248175204822779,-5.903690275824827
43,-34.23517171699274,-11.073515746294198,-7.793132293690663
44,-33.71173783175097,-10.098551474910328,-6.7597814563298835
45,-34.685465497243825,-12.50225982884583,-5.76703808916963
46,-35.015374382475834,-9.930673793209293,-3.176866540975867
47,-34.98870981185035,-8.302689033080387,-2.1201058897892415
48,-35.80169849293255,-9.720902660969758,-2.903633559618156
49,-32.109616310934165,-5.8539626765257236,-2.239617041358999
50,-33.78684935892459,-8.381136302487006,-2.857874060518136
51,-31.43219245579181,-6.258031013177228,-8.079746583089884
52,-33.397583497701284,-8.608279612709529,-7.175962912267235
53,-32.682860087225116,-11.666630522554515,-7.647000521122011
54,-31.666488655779187,-7.869953038349735,-4.756656664059349
55,-36.574732868365594,-8.096093377934583,-4.046860445095419
56,-35.537533212182865,-10.225100397169625,-2.3074136991695324
57,-36.418159718017456,-13.151586854782108,-4.986904612851872
58,-34.99027089825067,-10.097234978376875,-3.8417012530947012
59,-31.4285549684049,-7.065739564520765,-0.48699365040668274
60,-33.655029589147645,-8.226412796204034,-3.9113241547628954
61,-32.554158908442695,-8.63636175108963,-2.363013090886955
62,-31.988481980391725,-8.577244508907185,-1.7230544535734007
63,-33.68441908080152,-10.357209571888596,-4.091385916873689
64,-31.85721755198442,-6.171637745595411,-2.185022899952652
65,-31.68918616358888,-4.420174263422341,-4.19572467991578
66,-26.90310970375825,-3.6547620403155943,-2.26046357196956
67,-26.730757430599,-5.127051649345589,-4.747754621917247
68,-25.27509195850544,-4.246929313225588,-4.50570929973236
69,-27.88046598087632,-5.60595600956374,-5.516086302338866
70,-29.389817241247414,-8.918070314277955,-4.744920131504077
71,-30.83056123160287,-5.24965869366085,-4.0476388335502484
72,-29.3492935441394,-3.6199323019660765,-1.418133336507671
73,-29.46774346342266,-7.310504660489831,-3.0325739752232
74,-28.972846921941997,-6.4570351194931295,-3.3771312359236876
75,-25.39733290595149,-4.45808847282204,-2.0764118759714782
76,-26.376511267018028,-5.063681715992589,-1.3140958059650842
77,-24.52019018496437,-4.438189931183004,-1.7808191448486888
78,-26.272889155297193,-6.72348270497581,-5.697361544469308
79,-26.41122967147438,-6.278538056027468,-3.780789064909031
80,-22.568113745131026,-7.391109221063539,-5.42316842322189
81,-21.967507275609936,-5.624343027843629,-3.6146852957622855
82,-21.41435472909779,-6.253665620419157,-3.7903672639007837
83,-20.51376786163485,-6.32989236852448,-4.921217748054921
84,-20.824432549241795,-6.601846742568674,-4.844227272325173
85,-23.003388404285673,-5.066581788522762,-4.463276152772368
86,-19.574403680962217,-7.115720846479154,-5.946920576590318
87,-18.23572919466871,-8.992589174055535,-6.4353449851799045
88,-19.17100415900535,-11.83433096786571,-8.33357058607132
89,-19.46679453849484,-10.031414229568886,-8.709568865942146
90,-24.23466343187994,-10.259787286589717,-7.662252722242371
91,-23.873658192997723,-9.421166134643737,-7.147581767262378
92,-26.10034864796355,-12.066451479231397,-7.839069198619901
93,-28.459169289156264,-8.664736924859351,-6.935730604953998
94,-29.627936233077495,-5.52673474692733,-6.241028804529526
95,-29.09588488130965,-5.715486723330442,-5.483054138013452
96,-28.463786477166625,-3.26269221506244,-4.4347300944921155
97,-30.143721767563623,-3.5622504339298944,-5.890814573054354
98,-28.490037263235955,-2.8979800964280837,-5.8416128546376775
99,-27.995345223794374,-4.276558488938541,-4.4968121315898735
100,-29.550810122946306,-8.68552653902815,-8.201195184687757
101,-28.82219851449614,-7.143189945396109,-8.6250536357204
102,-30.650470065452893,-10.553767872710779,-9.530758017787672
103,-29.402277176228278,-9.498188919349124,-8.825562912481223
104,-26.86304156456882,-12.969609053082355,-9.888441808698804
105,-26.520974600276656,-12.574827900991462,-10.370509936715584
106,-27.694256011917393,-15.43411868040906,-11.619959278178857
107,-25.332504525496404,-17.606488259213915,-12.418703202883101
108,-25.952761940296394,-18.29275944432443,-12.48093953055059
109,-26.608236301873593,-18.024349557088108,-11.212531908149929
110,-27.71311166175174,-18.735422516051095,-11.855325079602432
111,-27.809940202178826,-17.992124903638366,-11.750627842551703
112,-27.29125567787603,-18.185664271465132,-10.422958376040215
113,-27.52198586548817,-20.590293155764073,-11.684154377516373
114,-25.573172183180198,-17.382556124627435,-11.13982998708896
115,-25.183303171087502,-17.747726001712124,-11.673135146149987
116,-22.87307424240011,-20.06434076622699,-11.346252473718021
117,-23.856524091028213,-21.327207983231194,-11.075409119001762
118,-25.541641642188484,-20.186303341126855,-11.682045641487383
119,-23.62786665448472,-20.29254316510581,-12.123463279015956
120,-25.385608057599384,-23.14073478034822,-11.279348161930473
121,-26.834417405025413,-22.98381435011138,-11.695265650145705
122,-29.697709631287104,-22.123002588216274,-11.982558808263054
123,-27.7362604096838,-20.67546333270504,-11.534698494454394
124,-28.78649799624511,-20.755317663557758,-11.213947918090973
125,-29.29339429698211,-20.547465033960297,-11.223104137664698
126,-29.49427251624097,-20.24184718875917,-11.898790718352126
127,-29.050027341797676,-22.067176520199872,-12.257685104148065
128,-27.132080747856808,-20.629634990986876,-10.05214883711524
129,-27.383775624557316,-17.32445887985138,-11.629287402726094
130,-27.146286861058712,-16.508214472302296,-10.46087438410237
131,-29.201689623147296,-17.75485985361868,-9.949274531920196
132,-26.632095289416817,-17.881270808619163,-9.72465285808409
133,-29.956634512097537,-17.566225533250716,-10.088839944557165
134,-30.739216723512257,-19.015042148696182,-9.659648154311117
135,-30.837023539092655,-19.96137601002507,-11.201353187545783
136,-31.825907451091414,-18.833094352891205,-10.507441721042545
137,-33.96959697931269,-19.367764043497466,-9.78209572922456
138,-33.845120098095244,-17.99142528291097,-10.643245683103403
139,-33.452211239731874,-18.039704372683797,-11.407760761777968
140,-31.326428641516152,-18.751835796229585,-12.578182552369537
141,-30.90163087872768,-19.672944019421415,-11.070397433181041
142,-35.07183667919998,-21.951881479349787,-10.170636111738458
143,-35.12082956507419,-25.148697474349678,-9.6786988477357
144,-36.967077751675,-22.965067718286804,-9.800133962271222
145,-38.3219512611743,-25.777567682582138,-8.228805589347779
146,-34.633188207375355,-27.17068683868133,-8.502282746693941
147,-35.08793129251826,-27.44101049386892,-7.281325548340006
148,-36.96891236160783,-32.109983079406845,-4.7565214906362066
149,-36.432736802550146,-29.826542311077592,-5.051358979914385
