Frames,TDC
1,-14.57
4,1.88
7,-18.75
10,6.12
13,-15.24
16,20.23
19,-33.84
22,4.57
25,-2.52
28,-5.84
31,-27.54
34,-8.16
37,-20.69
40,-21.97
43,0.61
46,-21.78
49,-11.24
52,-35.5
55,-38.9
58,-31.08
61,-10.64
64,-41.97
67,-11.05
70,-22.99
73,-15.39
76,-28.48
79,-13.24
82,-5.53
85,-13.75
88,9.21
91,-7.68
94,-22.51
97,12.06
100,-4.58
103,-2.72
106,-3.76
109,-14.3
112,-9.51
115,-27.44
118,-15.17
121,4.35
124,-17.78
127,-8.22
130,2.76
133,0.38
136,5.7
139,0.73
142,-11.78
145,26.78
148,-9.21
151,-16.48
154,-17.4
157,5.81
160,-10.28
163,5.1
166,-7.18
169,4.73
172,5.4
175,18.43
178,5.86
181,10.7
184,15.25
187,-9.3
190,9.6
193,0.97
196,7.61
199,-27.24
202,-20.98
205,3.96
208,-8.31
211,28.21
214,6.81
217,0.24
220,9.86
223,6.07
226,8.64
229,-3.55
232,-0.8
235,-1.33
238,2.97
241,-0.3
244,11.39
247,5.64
250,3.23
253,8.78
256,6.27
259,8.08
262,-0.66
265,12.23
268,-19.99
271,0.82
274,-4.8
277,-7.91
280,5.9
283,-6.13
286,3.37
289,-23.76
292,-9.47
295,-0.12
298,-21.51
301,12.76
304,8.62
307,7.45
310,-24.89
313,-6.33
316,-27.99
319,-20.3
322,-0.11
325,-3.05
328,-27.11
331,10.16
334,-17.53
337,-5.91
340,-2.84
343,-0.57
346,0.88
349,-17.84
352,-6.39
355,21.34
358,-13.38
361,-1.55
364,7.71
367,-26.87
370,0.89
373,25.83
376,-2.64
379,1.66
382,-8.11
385,-6.28
388,-2.44
391,4.59
394,-9.33
397,-3.9
400,-20.47
403,-15.3
406,-30.33
409,16.91
412,-19.99
415,-16.8
418,-18.87
421,-17.97
424,-8.34
427,-5.34
430,10.15
433,14.81
436,9.59
439,-0.83
442,6.07
445,3.94
448,39.67
451,29.46
454,18.52
457,33.86
460,10.83
463,-5.55
466,21.15
469,0.17
472,8.37
475,22.33
478,-10.83
481,13.25
484,4.58
487,4.18
490,-13.71
493,6.64
496,5.32
499,-0.9
502,-0.39
505,-2.23
508,3.21
511,-1.02
514,2.37
517,0.03
520,33.68
523,2.02
526,-5.56
529,-1.04
532,11.9
535,3.45
538,-1.64
541,-10.28
544,-17.87
547,-21.6
550,-2.0
553,-17.57
556,-8.32
559,-10.44
562,-20.94
565,-17.78
568,-12.39
571,-18.69
574,5.23
577,-3.15
580,-2.11
583,-19.58
586,-30.59
589,3.7
592,6.37
595,-6.75
598,-6.07
601,-12.13
604,-25.88
607,7.67
610,5.98
613,19.82
616,6.85
619,-0.47
622,-3.24
625,-6.38
628,-14.51
631,11.91
634,-9.86
637,-0.94
640,-26.77
643,-24.7
646,18.09
649,-7.99
652,-3.97
655,-15.55
658,5.32
661,7.57
664,9.81
667,3.17
670,12.02
673,3.36
676,-16.39
679,-3.31
682,-6.04
685,-16.43
688,-13.65
691,1.54
694,-6.47
697,-4.91
700,20.62
703,-20.57
706,0.78
709,-24.21
712,16.33
715,-1.68
718,8.08
721,-0.68
724,-16.67
727,0.37
730,7.38
733,-3.83
736,5.41
739,0.92
742,10.0
745,6.36
748,12.25
751,-11.22
754,5.23
757,-2.7
760,7.47
763,-6.96
766,7.38
769,5.47
772,17.69
775,-20.18
778,-16.47
781,26.76
784,15.6
787,0.91
790,5.82
793,12.57
796,-3.54
799,17.97
802,-2.14
805,-7.97
808,9.18
811,-0.08
814,18.04
817,10.66
820,7.72
823,4.86
826,1.72
829,26.53
832,11.25
835,21.34
838,12.12
841,-2.39
844,8.68
847,8.06
850,-0.17
853,18.88
856,15.72
859,-0.21
862,-15.57
865,6.08
868,-6.6
871,11.06
874,8.43
877,-21.34
880,2.96
883,0.33
886,-3.53
889,14.84
892,-2.37
895,14.17
898,-5.36
901,6.88
904,9.67
907,-12.77
910,1.61
913,9.47
916,21.45
919,0.85
922,14.97
925,15.34
928,12.62
931,18.55
934,2.24
937,13.51
940,16.35
943,-2.79
946,6.32
949,24.42
952,8.6
955,22.22
958,1.96
961,16.99
964,11.94
967,2.64
970,21.52
973,-7.21
976,11.44
979,21.7
982,-0.9
985,19.5
988,8.53
991,1.81
994,27.58
997,3.17
1000,-15.67
