Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-4.93,-2.48,5.28,-0.69,-7.41,4.59,-2.82
SD,7.62,6.29,9.26,1.01,12.59,8.37,4.75
SEM,0.42,0.34,0.51,0.06,0.69,0.46,0.26
