Frames,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,684.8,1510.25,2030.47,186.01,104.06,-102.93,-1303.56,-11513.81,713.09,7811.52,-2110.38,57.23,119.9,-2053.15,-1933.24
SD,21.53,31.37,17.59,5.88,7.24,10.24,20.54,94.68,12.38,58.18,70.17,1.19,86.77,69.73,44.01
SEM,1.18,1.72,0.96,0.32,0.4,0.56,1.12,5.18,0.68,3.18,3.84,0.07,4.75,3.82,2.41
