POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
223,642.1,1457.19,1978.71,177.04,95.44,-97.46,-1284.96,-11405.57,680.88,7515.8,-2028.95,53.46,0.0,-240.83,-1975.49,-2216.32
226,648.01,1457.9,1973.55,172.39,97.65,-108.8,-1265.03,-11344.1,677.91,7556.26,-2108.91,54.57,0.0,-134.27,-2054.35,-2188.62
229,645.54,1449.67,1980.46,183.46,116.42,-117.84,-1280.01,-11399.63,676.33,7547.83,-2055.82,53.75,0.0,-197.78,-2002.07,-2199.85
232,648.33,1471.65,1995.67,184.15,100.04,-105.46,-1272.74,-11486.04,669.24,7573.23,-2001.47,53.57,0.0,-221.93,-1947.91,-2169.84
235,678.2,1486.1,1967.82,182.78,96.12,-105.73,-1312.35,-11409.91,661.77,7548.28,-2049.56,53.62,0.0,-206.91,-1995.94,-2202.85
238,667.16,1471.38,1957.93,186.37,115.24,-109.9,-1267.95,-11375.27,675.34,7579.83,-2120.35,53.78,0.0,-99.86,-2066.57,-2166.43
241,647.36,1419.63,2001.34,178.31,103.55,-101.71,-1327.87,-11309.67,689.47,7618.69,-2153.05,53.83,0.0,-80.9,-2099.23,-2180.12
244,646.85,1463.48,1979.64,173.73,87.12,-108.65,-1323.02,-11279.76,683.47,7582.23,-2129.41,52.67,0.0,-94.92,-2076.74,-2171.65
247,627.12,1537.3,1965.09,178.07,102.58,-96.89,-1277.55,-11286.09,671.31,7552.31,-2164.28,53.51,0.0,-26.76,-2110.77,-2137.53
250,602.78,1446.73,1997.21,182.91,102.03,-107.33,-1274.58,-11446.13,678.05,7603.09,-2039.54,54.74,0.0,-215.23,-1984.8,-2200.03
253,679.39,1435.62,1966.05,175.56,116.87,-105.74,-1298.3,-11294.23,642.87,7574.82,-2141.48,54.01,0.0,-107.1,-2087.47,-2194.57
256,629.61,1483.56,1965.38,178.61,115.5,-126.4,-1287.34,-11332.2,681.98,7606.88,-2160.12,53.78,0.0,-84.42,-2106.35,-2190.77
259,680.99,1388.64,1978.2,186.9,105.79,-106.79,-1327.37,-11400.34,657.86,7607.08,-2063.39,52.68,0.0,-229.02,-2010.71,-2239.73
262,647.98,1481.99,1987.82,189.55,97.27,-114.88,-1307.03,-11338.23,677.83,7613.0,-2144.59,53.15,0.0,-64.69,-2091.43,-2156.12
265,651.69,1475.43,1995.43,181.57,101.28,-86.56,-1285.65,-11373.48,657.61,7586.94,-2094.12,54.25,0.0,-95.74,-2039.87,-2135.62
268,650.59,1466.09,1952.33,180.74,95.54,-96.01,-1285.02,-11410.23,674.96,7576.39,-2099.46,54.21,0.0,-194.62,-2045.25,-2239.87
271,661.77,1469.78,1986.67,177.84,93.11,-96.05,-1289.41,-11349.58,651.42,7538.62,-2080.33,53.49,0.0,-155.83,-2026.84,-2182.67
274,667.94,1484.34,1979.86,184.48,94.8,-100.18,-1333.52,-11368.64,670.6,7492.42,-2064.89,54.25,0.0,-227.9,-2010.64,-2238.54
277,704.17,1468.52,1973.82,184.56,108.96,-92.72,-1293.02,-11457.31,669.33,7574.19,-2031.9,53.8,0.0,-159.49,-1978.1,-2137.59
280,669.83,1461.01,1975.74,178.26,107.38,-99.18,-1283.27,-11447.02,660.13,7611.89,-2072.95,53.26,0.0,-165.24,-2019.69,-2184.93
283,637.6,1481.33,1966.84,187.52,120.79,-105.23,-1308.97,-11475.66,677.01,7623.37,-2098.61,53.83,0.0,-195.39,-2044.78,-2240.17
286,647.29,1464.74,1967.81,185.89,109.46,-114.39,-1304.12,-11437.21,681.19,7644.79,-2073.24,52.9,0.0,-154.55,-2020.33,-2174.89
289,677.97,1488.85,1968.84,186.43,108.83,-115.68,-1301.54,-11449.97,662.76,7580.29,-2065.23,53.44,0.0,-193.21,-2011.79,-2205.01
292,643.0,1449.68,1991.4,194.01,111.64,-98.16,-1286.17,-11401.37,675.89,7620.45,-2126.34,54.31,0.0,-99.63,-2072.04,-2171.67
295,647.07,1512.39,1936.24,186.21,111.88,-87.28,-1288.79,-11240.83,696.38,7539.56,-2187.53,53.98,0.0,12.84,-2133.55,-2120.71
298,659.26,1438.83,1949.07,177.46,108.94,-73.05,-1310.3,-11282.45,652.8,7524.85,-2173.58,53.89,0.0,-154.58,-2119.68,-2274.27
301,658.65,1478.08,1971.59,180.29,112.94,-104.81,-1300.68,-11212.98,673.75,7532.17,-2142.16,53.87,0.0,-11.02,-2088.29,-2099.31
304,669.62,1469.72,1994.28,177.83,91.65,-107.27,-1286.66,-11372.4,696.5,7522.52,-2093.9,54.62,0.0,-144.22,-2039.29,-2183.51
307,651.26,1446.65,1945.82,188.76,97.51,-97.59,-1275.1,-11408.01,682.34,7589.4,-2105.95,53.1,0.0,-178.98,-2052.85,-2231.83
310,674.77,1421.7,1989.85,176.95,91.78,-92.75,-1267.02,-11458.0,676.8,7576.41,-2064.1,53.62,0.0,-209.5,-2010.48,-2219.98
313,659.13,1461.25,1963.14,178.25,107.5,-98.82,-1281.84,-11427.15,691.51,7598.29,-2105.52,54.23,0.0,-148.75,-2051.29,-2200.04
316,645.63,1507.18,1980.14,181.64,103.9,-112.0,-1287.56,-11307.19,672.81,7504.43,-2117.92,54.0,0.0,-111.02,-2063.92,-2174.95
319,703.69,1473.35,2000.27,190.28,106.04,-91.74,-1285.89,-11274.91,659.95,7464.44,-2152.67,54.71,0.0,-54.52,-2097.97,-2152.48
322,620.83,1466.87,1996.69,182.08,105.57,-102.75,-1297.73,-11296.69,695.07,7526.04,-2134.74,54.04,0.0,-104.03,-2080.71,-2184.74
325,679.04,1469.85,1952.95,185.44,101.2,-92.98,-1279.57,-11309.63,676.05,7545.81,-2164.18,54.84,0.0,-71.85,-2109.34,-2181.19
328,665.92,1389.36,1990.53,168.3,100.21,-101.09,-1318.65,-11396.16,673.02,7588.45,-2090.2,53.66,0.0,-240.11,-2036.54,-2276.65
331,670.54,1505.28,1958.42,194.8,100.49,-102.93,-1306.65,-11264.23,695.24,7543.51,-2170.64,54.4,0.0,-5.53,-2116.24,-2121.78
334,687.25,1402.86,1935.69,174.98,117.4,-100.1,-1273.08,-11424.21,701.7,7552.19,-2083.73,54.46,0.0,-225.33,-2029.27,-2254.6
337,648.31,1436.62,1979.78,181.58,110.17,-122.95,-1269.02,-11453.8,675.63,7582.74,-2056.98,54.22,0.0,-230.96,-2002.76,-2233.72
340,674.52,1459.43,1976.52,182.4,88.84,-115.81,-1271.13,-11570.98,688.04,7612.95,-1985.49,54.26,0.0,-275.21,-1931.23,-2206.45
343,669.91,1465.76,1959.02,175.75,90.93,-111.08,-1300.46,-11459.9,676.26,7554.54,-2008.06,54.61,0.0,-279.27,-1953.44,-2232.71
346,632.48,1510.6,1954.14,180.83,100.76,-110.79,-1283.68,-11570.26,673.87,7627.08,-1980.2,54.3,0.0,-284.97,-1925.89,-2210.86
349,680.44,1469.93,1987.44,173.23,96.51,-86.82,-1293.25,-11498.98,686.35,7559.57,-2000.18,54.63,0.0,-225.58,-1945.55,-2171.13
352,624.49,1481.67,1959.54,175.13,97.98,-94.54,-1285.34,-11488.47,665.59,7565.25,-2005.64,53.61,0.0,-298.69,-1952.02,-2250.72
355,658.32,1476.35,1958.92,181.34,90.95,-100.52,-1304.69,-11422.29,677.06,7564.04,-2077.89,52.73,0.0,-220.51,-2025.16,-2245.67
358,669.15,1517.32,1980.3,178.44,95.56,-101.7,-1282.15,-11455.42,654.52,7476.21,-1975.44,53.15,0.0,-267.77,-1922.29,-2190.06
361,677.3,1437.75,1980.26,184.67,101.42,-108.66,-1273.94,-11505.38,684.62,7588.68,-1992.37,54.25,0.0,-233.28,-1938.12,-2171.4
364,684.28,1489.71,1983.85,185.18,110.38,-115.29,-1303.77,-11507.9,685.69,7600.99,-1997.51,53.27,0.0,-186.88,-1944.25,-2131.13
367,689.35,1407.02,1967.31,168.47,105.56,-106.3,-1303.1,-11464.75,653.78,7540.48,-1934.29,52.36,0.0,-342.19,-1881.93,-2224.12
370,661.34,1477.71,1981.84,188.02,98.97,-106.1,-1264.03,-11532.78,694.06,7571.39,-1981.3,54.23,0.0,-229.56,-1927.07,-2156.63
373,633.27,1466.84,1962.73,180.25,97.37,-106.48,-1284.43,-11581.88,694.36,7602.91,-1940.36,53.59,0.0,-335.06,-1886.77,-2221.83
376,661.19,1495.43,1958.6,180.18,104.32,-106.74,-1284.9,-11374.01,647.89,7457.28,-2034.71,54.2,0.0,-260.77,-1980.51,-2241.28
379,691.83,1425.2,1967.87,177.96,95.68,-131.56,-1302.06,-11437.54,683.89,7612.17,-2057.23,54.06,0.0,-216.57,-2003.17,-2219.74
382,667.58,1424.39,1984.83,175.7,101.99,-106.46,-1278.03,-11469.88,667.44,7572.64,-2032.44,54.9,0.0,-259.8,-1977.54,-2237.33
385,662.39,1481.28,1945.91,177.5,90.05,-89.06,-1288.8,-11432.07,671.66,7602.86,-2078.4,53.81,0.0,-178.29,-2024.59,-2202.88
388,655.62,1444.74,1933.52,174.02,104.02,-105.82,-1276.32,-11441.57,701.02,7614.55,-2080.5,53.95,0.0,-196.23,-2026.55,-2222.78
391,679.37,1486.58,1983.15,176.76,119.4,-111.04,-1285.98,-11426.5,677.43,7579.94,-2059.23,53.82,0.0,-120.88,-2005.42,-2126.29
394,646.02,1492.47,1955.49,174.51,107.75,-97.78,-1302.44,-11523.03,664.0,7631.08,-2052.09,54.07,0.0,-251.93,-1998.02,-2249.95
397,665.86,1519.12,1956.41,193.28,90.86,-111.21,-1266.51,-11442.21,677.58,7607.63,-2066.09,54.2,0.0,-109.19,-2011.89,-2121.08
400,655.36,1478.53,1973.88,178.06,97.35,-89.0,-1252.48,-11577.32,674.1,7605.21,-1993.09,53.8,0.0,-256.3,-1939.29,-2195.58
