Frames,TDC
1,22.45
4,-15.54
7,-0.2
10,0.73
13,-6.74
16,27.02
19,-1.31
22,16.56
25,16.48
28,18.89
31,-3.07
34,-2.68
37,2.56
40,28.67
43,1.2
46,28.4
49,25.88
52,38.95
55,29.27
58,39.05
61,6.68
64,4.46
67,-3.99
70,2.66
73,-14.09
76,15.73
79,-7.17
82,-10.82
85,11.12
88,10.9
91,-12.67
94,8.27
97,37.76
100,10.05
103,16.37
106,9.96
109,39.55
112,6.82
115,8.65
118,10.33
121,42.33
124,-1.91
127,23.01
130,17.39
133,31.27
136,-16.4
139,16.89
142,-0.13
145,-12.81
148,7.47
151,7.01
154,18.79
157,17.3
160,11.57
163,18.76
166,-10.43
169,6.7
172,16.12
175,-13.82
178,18.9
181,17.37
184,-17.79
187,14.3
190,-2.71
193,-4.09
196,-1.51
199,2.58
202,-14.05
205,-11.31
208,-1.54
211,-5.56
214,1.38
217,22.85
220,19.63
223,2.34
226,9.53
229,15.36
232,2.61
235,16.21
238,-15.08
241,15.27
244,-4.46
247,22.35
250,17.12
253,15.35
256,9.71
259,-2.33
262,17.79
265,7.72
268,-9.72
271,8.3
274,26.65
277,-7.51
280,-2.81
283,-6.18
286,-0.66
289,2.66
292,7.58
295,4.99
298,4.77
301,9.54
304,17.45
307,28.44
310,-1.48
313,21.05
316,1.58
319,-5.42
322,-4.56
325,-6.71
328,-2.0
331,7.26
334,-1.84
337,19.99
340,-18.75
343,39.08
346,21.32
349,9.15
352,11.89
355,12.71
358,10.94
361,6.52
364,2.36
367,31.67
370,19.2
373,13.12
376,10.33
379,5.13
382,12.4
385,-16.88
388,29.12
391,40.16
394,0.75
397,2.0
400,1.34
403,25.69
406,25.3
409,17.7
412,44.86
415,9.52
418,18.43
421,32.16
424,19.53
427,30.29
430,16.38
433,32.12
436,27.12
439,19.87
442,-0.33
445,15.7
448,13.37
451,4.45
454,13.78
457,11.83
460,38.22
463,14.96
466,16.83
469,7.5
472,48.62
475,34.78
478,34.52
481,33.27
484,18.01
487,25.54
490,45.04
493,23.88
496,47.44
499,16.6
502,8.35
505,9.3
508,0.93
511,16.79
514,4.3
517,26.86
520,28.52
523,25.38
526,-5.27
529,15.21
532,14.73
535,30.98
538,0.33
541,13.91
544,34.85
547,39.37
550,15.95
553,20.63
556,36.46
559,25.84
562,37.53
565,25.65
568,7.51
571,27.77
574,13.42
577,18.69
580,22.74
583,16.2
586,11.62
589,43.27
592,17.91
595,20.35
598,10.03
601,20.44
604,24.37
607,31.22
610,26.52
613,49.51
616,46.85
619,29.57
622,17.02
625,35.86
628,29.01
631,19.4
634,33.35
637,53.16
640,36.18
643,25.51
646,31.38
649,47.53
652,23.6
655,22.46
658,35.87
661,30.85
664,33.92
667,31.9
670,26.47
673,33.52
676,38.55
679,21.62
682,15.78
685,36.18
688,10.53
691,40.69
694,26.92
697,28.17
700,19.2
703,32.99
706,51.9
709,53.36
712,42.07
715,28.2
718,18.3
721,53.71
724,36.85
727,24.43
730,47.44
733,17.34
736,30.27
739,18.94
742,31.58
745,44.86
748,35.91
751,13.81
754,65.88
757,61.5
760,46.34
763,39.61
766,41.36
769,22.83
772,26.21
775,13.74
778,37.19
781,44.26
784,45.24
787,34.03
790,38.68
793,21.22
796,35.1
799,20.34
802,-3.93
805,29.61
808,56.89
811,34.71
814,18.58
817,36.27
820,40.86
823,37.27
826,20.41
829,29.82
832,29.62
835,47.61
838,21.64
841,50.33
844,43.97
847,5.52
850,42.68
853,38.16
856,32.84
859,28.46
862,7.1
865,33.63
868,35.55
871,39.32
874,32.4
877,24.52
880,15.65
883,43.52
886,20.84
889,28.57
892,31.76
895,20.52
898,36.2
901,22.99
904,7.7
907,9.63
910,30.06
913,24.51
916,33.19
919,36.93
922,22.95
925,35.39
928,16.45
931,5.35
934,32.75
937,7.88
940,22.54
943,11.36
946,29.74
949,-22.65
952,2.38
955,30.59
958,15.12
961,9.87
964,43.05
967,24.24
970,18.03
973,13.01
976,35.76
979,13.89
982,18.36
985,20.86
988,25.48
991,-1.68
994,36.4
997,-7.23
1000,22.75
