Frames,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,687.77,1520.05,2040.18,186.65,103.03,-108.37,-1316.83,-11504.14,725.44,7912.57,-2182.23,56.49,246.36,-2125.74,-1879.39
SD,22.56,29.75,17.61,6.01,6.83,11.08,19.84,87.03,12.29,44.66,73.81,1.57,93.23,72.94,43.86
SEM,1.23,1.63,0.96,0.33,0.37,0.61,1.09,4.76,0.67,2.44,4.04,0.09,5.1,3.99,2.4
