Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-9.51,-12.5,15.41,-1.42,-22.01,13.99,-8.02
SD,10.19,15.48,16.72,1.47,23.93,15.31,8.87
SEM,0.56,0.85,0.91,0.08,1.31,0.84,0.49
