POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
991,681.21,1476.32,2041.82,179.48,114.97,-98.32,-1315.4,-11425.28,730.13,7890.38,-2207.58,56.52,0.0,275.3,-2151.06,-1875.77
994,716.22,1491.55,2060.54,174.75,97.64,-117.18,-1290.23,-11354.48,714.9,7881.24,-2281.09,57.98,0.0,374.96,-2223.11,-1848.15
997,629.98,1469.4,2033.98,183.57,102.97,-82.36,-1301.18,-11376.25,742.49,7889.08,-2261.23,58.1,0.0,291.66,-2203.13,-1911.47
1000,669.33,1480.15,2033.04,173.69,105.3,-97.99,-1306.53,-11455.83,743.92,7895.38,-2192.96,56.94,0.0,240.46,-2136.01,-1895.55

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,595.29,1454.33,1990.21,184.67,93.67,-99.83,-1331.95,-11595.77,704.65,7743.72,-1993.95,52.06,0.0,-261.01,-1941.9,-2202.91
4,659.49,1442.23,1981.45,183.23,94.76,-119.03,-1303.24,-11440.76,701.67,7707.25,-2072.86,53.59,0.0,-92.94,-2019.28,-2112.22
7,654.04,1506.53,1974.28,179.85,93.67,-99.14,-1289.03,-11412.22,669.83,7632.38,-2059.89,54.03,0.0,-89.81,-2005.86,-2095.67
10,641.77,1448.5,2007.92,180.95,107.0,-121.01,-1293.24,-11463.97,689.05,7638.63,-2062.55,54.37,0.0,-164.41,-2008.18,-2172.59
13,686.13,1488.0,1965.36,187.47,106.38,-90.83,-1294.32,-11399.28,684.53,7595.51,-2091.16,54.36,0.0,-71.05,-2036.81,-2107.86
16,693.63,1508.0,1993.85,175.89,110.39,-119.51,-1284.49,-11341.36,691.09,7577.86,-2084.28,55.64,0.0,5.35,-2028.65,-2023.29
19,639.51,1476.51,1955.43,169.47,99.25,-97.01,-1294.34,-11496.94,699.52,7631.58,-2062.76,55.21,0.0,-217.01,-2007.55,-2224.56
22,661.43,1478.71,1986.8,178.08,108.33,-110.33,-1312.27,-11457.83,690.83,7614.65,-2055.87,54.67,0.0,-161.58,-2001.19,-2162.77
25,660.37,1455.25,2033.25,177.54,108.44,-88.5,-1308.84,-11317.41,691.6,7639.43,-2198.92,53.58,0.0,51.14,-2145.34,-2094.2
28,664.65,1530.9,2029.05,196.79,109.24,-108.62,-1306.04,-11213.07,678.99,7545.52,-2227.18,54.44,0.0,127.41,-2172.74,-2045.34
31,655.05,1519.73,1974.32,190.44,91.85,-120.79,-1284.16,-11257.38,676.57,7556.52,-2203.84,54.86,0.0,2.15,-2148.97,-2146.83
34,654.28,1486.69,1991.5,180.82,102.43,-108.61,-1337.29,-11282.85,664.6,7650.57,-2165.57,53.54,0.0,2.15,-2112.04,-2109.88
37,639.3,1498.6,2003.49,188.36,98.62,-102.24,-1280.94,-11412.22,705.5,7599.06,-2120.71,53.3,0.0,-62.47,-2067.41,-2129.88
40,681.21,1534.77,2003.21,193.82,94.2,-115.6,-1321.72,-11225.92,673.76,7612.47,-2223.39,53.77,0.0,130.19,-2169.62,-2039.43
43,651.49,1509.99,1985.81,168.48,100.46,-116.5,-1309.53,-11325.23,689.54,7607.69,-2146.16,52.99,0.0,-37.8,-2093.17,-2130.98
46,669.97,1489.18,1987.31,177.98,98.51,-125.68,-1297.55,-11275.45,692.36,7639.36,-2240.62,52.66,0.0,55.98,-2187.96,-2131.98
49,652.88,1492.52,1957.34,184.02,83.81,-106.92,-1260.67,-11320.12,692.9,7592.64,-2192.06,53.93,0.0,-31.61,-2138.13,-2169.74
52,676.6,1447.99,2018.33,181.87,110.6,-113.15,-1310.4,-11287.85,688.15,7584.43,-2164.5,52.21,0.0,-3.44,-2112.29,-2115.73
55,653.56,1449.46,1985.12,180.3,106.35,-110.37,-1308.45,-11405.19,707.25,7646.31,-2119.59,52.94,0.0,-95.67,-2066.65,-2162.32
58,648.67,1494.68,1968.5,177.79,103.76,-104.3,-1317.51,-11337.22,686.04,7691.22,-2180.96,52.82,0.0,11.62,-2128.14,-2116.52
61,658.4,1515.06,1962.39,188.25,107.11,-104.61,-1282.34,-11324.54,675.82,7690.15,-2228.4,53.92,0.0,85.69,-2174.48,-2088.79
64,638.49,1470.43,1978.33,178.26,109.16,-111.95,-1299.46,-11326.19,690.9,7642.34,-2201.63,53.22,0.0,-29.69,-2148.41,-2178.1
67,668.31,1457.06,1998.46,182.59,105.43,-97.6,-1322.26,-11329.73,699.69,7730.02,-2206.47,53.79,0.0,91.98,-2152.69,-2060.7
70,672.95,1471.54,1988.79,185.61,107.44,-108.9,-1308.21,-11395.13,672.1,7628.81,-2071.6,51.95,0.0,-85.0,-2019.65,-2104.65
73,660.17,1427.81,1980.44,180.73,108.64,-94.34,-1278.03,-11425.73,689.92,7717.17,-2121.59,54.0,0.0,-33.22,-2067.59,-2100.81
76,684.64,1459.88,2004.85,182.58,102.99,-124.94,-1286.4,-11341.13,694.97,7553.43,-2110.28,53.42,0.0,-69.14,-2056.86,-2126.0
79,667.02,1499.35,1965.27,179.98,105.03,-110.19,-1296.03,-11415.0,667.37,7628.66,-2068.92,52.34,0.0,-108.54,-2016.59,-2125.13
82,656.67,1459.89,1968.06,189.27,111.57,-84.97,-1290.0,-11464.08,687.98,7676.62,-2129.81,54.07,0.0,-89.0,-2075.74,-2164.74
85,680.86,1498.44,1999.39,196.48,97.82,-110.89,-1333.55,-11339.14,673.14,7557.5,-2100.2,52.56,0.0,-79.95,-2047.64,-2127.59
88,677.82,1462.2,1975.14,184.08,108.29,-97.48,-1309.67,-11445.59,701.06,7606.0,-2017.24,52.17,0.0,-138.14,-1965.08,-2103.22
91,642.95,1461.67,1957.1,191.48,104.96,-89.85,-1273.77,-11454.04,695.26,7556.47,-2048.21,53.71,0.0,-207.76,-1994.49,-2202.26
94,648.14,1444.22,2014.18,183.33,92.8,-118.16,-1290.51,-11401.51,704.47,7595.24,-2063.36,53.7,0.0,-127.81,-2009.66,-2137.47
97,654.82,1469.72,1975.43,177.34,99.53,-107.45,-1301.63,-11421.1,681.15,7679.65,-2072.81,54.27,0.0,-92.53,-2018.55,-2111.08
100,638.87,1486.83,1985.17,185.96,112.24,-101.66,-1318.77,-11372.14,687.04,7626.65,-2108.62,52.96,0.0,-69.8,-2055.66,-2125.46
103,613.07,1495.93,1995.89,185.81,90.35,-103.09,-1309.74,-11439.8,688.16,7685.55,-2114.68,52.78,0.0,-97.86,-2061.9,-2159.76
106,662.83,1455.32,2002.46,183.49,95.2,-114.04,-1309.44,-11416.02,681.78,7669.75,-2076.44,53.02,0.0,-88.66,-2023.42,-2112.08
109,655.78,1547.78,1981.94,189.58,91.06,-117.74,-1307.28,-11398.34,684.5,7666.9,-2086.03,53.58,0.0,-5.84,-2032.45,-2038.29
112,676.06,1460.68,1970.61,183.43,106.79,-93.54,-1317.34,-11308.63,686.27,7644.79,-2170.48,54.32,0.0,9.12,-2116.17,-2107.05
115,688.03,1423.67,1977.07,172.45,98.01,-108.94,-1292.9,-11374.75,685.27,7636.66,-2101.56,54.01,0.0,-95.43,-2047.55,-2142.98
118,626.36,1493.07,1976.68,189.03,108.31,-105.9,-1307.07,-11410.7,672.72,7700.1,-2122.43,53.65,0.0,-57.4,-2068.78,-2126.18
121,677.57,1468.6,1971.35,180.93,94.68,-89.83,-1323.53,-11378.23,675.96,7659.41,-2103.71,52.26,0.0,-63.1,-2051.45,-2114.55
124,662.47,1461.29,1969.42,177.66,95.22,-109.02,-1277.66,-11332.22,685.7,7724.8,-2232.39,54.4,0.0,57.66,-2177.99,-2120.33
127,709.74,1474.28,1994.64,184.65,103.72,-124.05,-1315.17,-11227.14,674.29,7621.32,-2228.88,53.97,0.0,96.3,-2174.91,-2078.62
130,681.38,1461.27,1969.31,178.92,98.64,-110.37,-1299.82,-11350.62,699.98,7588.45,-2126.08,53.34,0.0,-82.86,-2072.75,-2155.6
133,680.67,1510.18,1991.71,186.25,115.98,-124.17,-1315.87,-11322.33,677.96,7556.96,-2115.77,55.29,0.0,-42.67,-2060.48,-2103.15
136,661.15,1438.64,1957.13,176.33,96.72,-109.75,-1281.37,-11321.42,685.67,7549.64,-2091.51,53.75,0.0,-147.26,-2037.75,-2185.01
139,640.55,1475.11,1959.69,170.81,104.93,-126.21,-1298.4,-11274.08,699.96,7588.5,-2153.99,52.73,0.0,-59.16,-2101.26,-2160.42
142,663.71,1452.26,1971.44,175.52,94.82,-105.72,-1319.35,-11463.21,691.24,7688.07,-2062.45,51.88,0.0,-151.21,-2010.57,-2161.78
145,662.5,1473.37,1944.66,178.04,104.49,-105.25,-1290.78,-11403.63,682.06,7606.24,-2064.61,52.7,0.0,-148.3,-2011.91,-2160.22
148,685.77,1496.19,1962.89,187.47,101.44,-116.86,-1301.6,-11340.87,680.97,7625.22,-2147.12,53.39,0.0,-19.37,-2093.73,-2113.1
151,658.65,1461.07,1984.91,176.61,111.81,-97.99,-1307.3,-11361.94,696.67,7620.87,-2111.87,52.42,0.0,-56.63,-2059.44,-2116.07
154,653.44,1488.25,1986.46,179.56,110.37,-128.8,-1309.5,-11413.69,711.16,7615.78,-2057.81,52.98,0.0,-106.97,-2004.83,-2111.8
157,683.26,1458.98,1992.27,179.93,100.28,-109.6,-1287.02,-11445.91,671.59,7615.61,-2040.69,53.09,0.0,-140.61,-1987.6,-2128.22
160,667.13,1475.92,1969.31,181.4,99.28,-94.44,-1284.6,-11336.41,682.45,7580.82,-2111.22,53.83,0.0,-59.16,-2057.39,-2116.56
163,629.6,1532.41,1987.49,193.04,104.76,-113.68,-1316.17,-11420.61,696.23,7685.24,-2127.71,53.93,0.0,-21.69,-2073.78,-2095.47
166,677.3,1481.67,1952.99,189.6,93.57,-112.3,-1275.92,-11508.22,667.33,7692.53,-2066.84,53.58,0.0,-141.45,-2013.26,-2154.71
169,629.08,1524.62,1977.89,176.45,106.49,-98.56,-1296.45,-11364.37,689.05,7566.67,-2070.96,53.81,0.0,-89.13,-2017.15,-2106.28
172,699.31,1441.07,1986.56,177.04,108.99,-113.09,-1278.92,-11422.64,681.59,7589.75,-2077.5,54.46,0.0,-130.35,-2023.05,-2153.4
175,652.62,1492.23,1982.52,180.42,105.2,-112.54,-1327.65,-11319.19,705.21,7616.32,-2150.1,53.04,0.0,-24.87,-2097.06,-2121.93
178,667.84,1482.89,1982.68,177.33,104.53,-107.17,-1293.96,-11356.24,690.86,7572.34,-2078.64,53.68,0.0,-78.89,-2024.96,-2103.84
181,673.02,1477.37,2010.44,188.73,92.54,-108.97,-1333.69,-11386.13,699.26,7605.19,-2073.73,52.68,0.0,-82.25,-2021.04,-2103.3
184,674.25,1488.7,1981.28,189.22,102.67,-122.83,-1297.94,-11370.44,677.85,7591.29,-2092.19,54.57,0.0,-85.93,-2037.63,-2123.56
187,688.55,1496.09,1974.97,186.2,99.75,-118.29,-1297.22,-11362.77,688.49,7572.66,-2125.61,54.09,0.0,-71.59,-2071.51,-2143.1
190,650.03,1449.53,1973.48,179.34,112.28,-91.38,-1330.02,-11337.18,695.4,7610.19,-2088.29,53.83,0.0,-88.33,-2034.46,-2122.79
193,672.86,1473.0,1965.42,189.3,104.61,-103.23,-1330.58,-11425.2,695.91,7619.8,-2016.14,51.38,0.0,-138.1,-1964.76,-2102.87
196,687.88,1449.7,1997.49,183.63,96.5,-106.0,-1327.78,-11418.66,675.44,7649.88,-2099.57,52.61,0.0,-111.9,-2046.96,-2158.85
199,675.3,1484.21,2012.42,186.56,105.8,-108.36,-1297.58,-11402.81,684.07,7600.82,-2107.99,52.43,0.0,-59.56,-2055.56,-2115.12
202,661.82,1465.2,1985.95,181.5,106.7,-99.13,-1310.9,-11458.7,695.71,7601.8,-2028.99,52.1,0.0,-170.04,-1976.88,-2146.92
205,666.66,1469.78,2004.32,173.61,109.77,-102.91,-1324.33,-11450.89,678.16,7668.59,-2057.68,52.75,0.0,-107.23,-2004.93,-2112.16
208,672.74,1479.15,1986.95,174.79,91.19,-101.06,-1298.09,-11331.7,697.82,7557.92,-2101.23,53.81,0.0,-70.29,-2047.42,-2117.71
211,690.26,1485.21,1980.53,186.52,107.73,-109.42,-1293.01,-11466.41,713.04,7641.24,-2037.1,53.27,0.0,-64.31,-1983.82,-2048.13
214,673.15,1486.09,1974.44,187.63,114.54,-115.08,-1301.35,-11379.12,679.76,7609.92,-2093.48,53.33,0.0,-70.02,-2040.15,-2110.17
217,678.99,1440.5,1982.54,184.77,101.28,-100.44,-1280.91,-11355.82,708.57,7632.91,-2146.51,53.68,0.0,-7.61,-2092.83,-2100.44
220,703.52,1396.97,1987.9,170.98,109.19,-103.2,-1312.49,-11427.51,694.23,7677.19,-2068.7,53.3,0.0,-103.21,-2015.4,-2118.6
223,656.63,1452.95,1986.91,180.76,102.34,-123.25,-1300.86,-11356.19,694.15,7611.4,-2096.88,53.68,0.0,-95.15,-2043.21,-2138.35
226,644.96,1487.19,1973.88,194.54,95.71,-92.39,-1299.4,-11354.83,709.65,7596.71,-2126.94,53.76,0.0,-43.96,-2073.19,-2117.15
229,659.95,1421.45,1966.38,181.56,96.26,-105.32,-1286.98,-11358.82,697.48,7716.02,-2198.03,54.72,0.0,-12.03,-2143.31,-2155.34
232,669.93,1503.49,1999.5,189.12,94.5,-99.23,-1301.16,-11501.58,692.41,7639.75,-2031.13,53.76,0.0,-113.27,-1977.37,-2090.65
235,728.83,1478.0,2000.76,188.28,97.02,-97.81,-1321.3,-11328.62,670.51,7601.71,-2144.73,52.6,0.0,17.39,-2092.12,-2074.74
238,679.42,1494.98,1963.93,185.97,93.61,-99.67,-1328.73,-11255.13,693.28,7558.23,-2202.33,53.22,0.0,-14.12,-2149.11,-2163.23
241,688.45,1519.14,2000.56,175.74,103.14,-109.5,-1292.31,-11286.17,679.98,7552.66,-2204.59,54.85,0.0,31.69,-2149.75,-2118.05
244,649.04,1487.53,1980.66,189.84,96.47,-96.16,-1300.79,-11455.69,695.95,7635.53,-2080.76,53.14,0.0,-117.63,-2027.61,-2145.24
247,673.77,1460.17,1945.55,190.12,97.11,-86.22,-1290.43,-11382.59,683.18,7640.21,-2153.63,53.52,0.0,-69.15,-2100.12,-2169.27
250,686.44,1501.85,1973.0,184.04,99.64,-107.05,-1296.72,-11376.92,667.14,7579.28,-2110.12,54.01,0.0,-89.29,-2056.11,-2145.4
253,646.46,1478.82,1977.11,179.1,89.08,-116.11,-1290.66,-11420.46,689.5,7634.3,-2086.4,54.12,0.0,-132.86,-2032.28,-2165.15
256,699.07,1469.74,1974.5,192.89,87.36,-109.85,-1330.08,-11341.62,687.84,7628.42,-2132.34,53.38,0.0,-41.74,-2078.96,-2120.7
