POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
727,20.97,32.02,64.95,3.34,0.39,0.0,-8.76,-143.66,39.54,281.45,-50.66,3.98,0.0,290.24,-46.69,243.55
730,18.02,38.74,66.48,6.17,1.19,0.0,-8.5,-133.31,42.18,278.2,-57.92,4.06,0.0,309.17,-53.86,255.31
733,23.75,35.76,68.11,4.28,0.05,0.0,-12.51,-139.23,39.09,273.97,-50.83,4.03,0.0,293.27,-46.8,246.47
736,20.16,31.89,60.17,3.54,0.03,0.0,-9.11,-145.47,35.17,278.5,-48.73,4.09,0.0,274.88,-44.64,230.24
739,23.93,32.82,62.31,3.27,0.01,0.0,-8.91,-141.0,35.46,273.94,-49.66,4.06,0.0,281.83,-45.6,236.23
742,20.17,34.05,64.62,3.8,0.04,0.0,-7.5,-134.19,39.41,276.66,-57.52,4.1,0.0,297.06,-53.42,243.64
745,31.02,35.68,61.07,5.2,0.26,0.0,-9.42,-130.83,32.84,277.02,-55.99,4.03,0.0,302.83,-51.96,250.87
748,18.63,39.3,59.77,3.89,0.01,0.0,-7.65,-146.24,38.91,283.49,-50.78,4.0,0.0,290.11,-46.78,243.33
751,25.31,41.81,61.96,3.68,0.32,0.0,-10.45,-132.2,38.94,267.23,-50.15,4.01,0.0,296.61,-46.14,250.47
754,26.29,32.01,66.51,3.72,0.44,0.0,-5.68,-118.7,40.11,266.77,-63.75,4.54,0.0,311.48,-59.22,252.26
757,16.03,44.88,59.41,3.5,0.4,0.0,-4.82,-106.69,34.93,254.72,-63.1,4.57,0.0,302.36,-58.53,243.83
760,15.99,38.89,59.35,3.97,0.43,0.0,-9.37,-139.47,42.19,276.49,-50.07,4.12,0.0,288.48,-45.95,242.53
763,26.83,36.76,59.52,2.65,0.61,0.0,-7.54,-120.2,33.94,275.05,-65.21,4.24,0.0,307.62,-60.98,246.65
766,18.74,28.75,64.56,3.01,0.0,0.0,-7.12,-133.06,36.63,274.08,-53.23,4.13,0.0,285.6,-49.11,236.5
769,24.27,39.62,64.53,3.23,0.12,0.0,-7.4,-137.14,33.86,272.28,-53.97,4.54,0.0,293.37,-49.43,243.94
772,20.45,43.83,56.98,4.67,0.0,0.0,-7.86,-117.2,37.81,265.0,-61.84,4.08,0.0,303.67,-57.76,245.91
775,31.36,39.24,66.08,4.82,0.01,0.0,-11.2,-138.24,38.72,275.07,-51.56,3.99,0.0,305.86,-47.57,258.29
778,19.26,40.86,62.93,3.49,0.47,0.0,-6.47,-129.53,34.64,271.44,-53.88,3.98,0.0,297.08,-49.9,247.18
781,18.56,36.98,58.12,4.27,0.03,0.0,-10.02,-122.3,35.61,271.35,-60.91,4.09,0.0,292.59,-56.82,235.77
784,25.71,35.23,65.82,5.17,0.33,0.0,-8.72,-115.15,37.89,259.15,-58.23,4.11,0.0,305.43,-54.11,251.32
787,21.49,28.08,59.07,5.08,0.02,0.0,-9.69,-125.96,36.65,273.92,-59.24,3.98,0.0,288.65,-55.27,233.38
790,23.61,26.31,63.21,4.06,0.12,0.0,-6.04,-121.97,38.27,274.84,-61.92,4.19,0.0,302.41,-57.73,244.67
793,20.77,40.45,64.19,4.76,0.15,0.0,-9.63,-137.74,41.82,279.1,-53.41,4.16,0.0,303.89,-49.25,254.64
796,19.98,36.21,68.37,3.73,0.36,0.0,-11.8,-130.84,39.56,271.61,-51.96,3.92,0.0,297.16,-48.04,249.12
799,24.66,41.32,58.05,5.08,0.29,0.0,-7.51,-126.35,41.44,272.72,-61.59,4.57,0.0,309.72,-57.02,252.7
802,23.93,36.15,56.02,4.27,0.59,0.0,-4.94,-125.3,36.66,273.0,-61.28,4.5,0.0,300.37,-56.78,243.6
805,17.89,30.18,65.21,3.36,0.03,0.0,-4.68,-115.66,38.3,267.29,-63.34,4.62,0.0,301.91,-58.73,243.18
808,20.22,42.42,62.36,3.72,0.2,0.0,-4.41,-115.92,40.14,261.61,-60.52,4.55,0.0,310.33,-55.97,254.36
811,26.19,38.6,62.37,4.81,0.27,0.0,-7.45,-117.56,37.15,267.65,-61.44,4.26,0.0,312.03,-57.18,254.85
814,27.05,49.77,58.61,3.49,0.27,0.0,-9.9,-134.59,33.77,273.87,-53.74,4.19,0.0,302.34,-49.55,252.79
817,17.2,38.6,56.86,4.26,0.0,0.0,-3.23,-123.45,39.11,267.7,-60.45,4.56,0.0,297.04,-55.89,241.15
820,22.43,39.46,58.63,4.57,0.86,0.0,-8.85,-130.47,39.36,270.35,-55.05,4.16,0.0,296.33,-50.89,245.44
823,19.7,38.37,60.35,3.51,0.0,0.0,-10.75,-125.09,36.39,274.7,-58.91,4.07,0.0,297.19,-54.84,242.35
826,18.1,32.86,63.56,2.96,0.14,0.0,-8.39,-143.09,37.06,280.2,-53.88,4.16,0.0,283.4,-49.72,233.68
829,18.17,35.04,60.01,3.88,0.02,0.0,-8.79,-120.51,41.62,265.63,-57.13,4.11,0.0,295.07,-53.01,242.06
832,25.95,35.06,58.05,3.86,0.0,0.0,-6.9,-123.36,36.72,268.67,-57.26,4.07,0.0,298.04,-53.19,244.85
835,21.56,39.54,55.4,3.59,0.01,0.0,-6.76,-117.85,38.78,269.46,-61.14,4.03,0.0,303.73,-57.11,246.63
838,25.24,36.06,58.14,4.07,0.0,0.0,-9.77,-126.99,40.69,272.22,-55.03,4.07,0.0,299.67,-50.96,248.7
841,16.92,32.14,60.56,3.52,0.0,0.0,-6.51,-148.49,43.69,278.52,-45.86,4.03,0.0,280.36,-41.83,238.53
844,16.61,37.17,59.64,2.9,0.08,0.0,-7.43,-134.86,39.91,272.85,-50.07,4.06,0.0,286.86,-46.01,240.85
847,24.53,35.91,59.02,3.39,1.13,0.0,-6.52,-131.14,35.61,268.14,-52.13,4.14,0.0,290.06,-47.99,242.06
850,14.67,42.4,59.11,4.77,0.24,0.0,-10.39,-134.0,40.69,275.1,-55.57,4.16,0.0,292.58,-51.41,241.17
853,24.65,40.66,61.29,3.93,0.16,0.0,-8.8,-120.81,37.25,263.63,-57.1,4.16,0.0,301.97,-52.94,249.03
856,18.09,47.62,55.54,5.27,0.02,0.0,-8.53,-129.77,39.05,269.28,-53.63,4.13,0.0,296.57,-49.5,247.07
859,21.67,43.24,67.29,3.6,0.42,0.0,-9.9,-124.03,32.77,262.02,-54.59,4.17,0.0,297.08,-50.42,246.66
862,29.33,38.24,61.41,4.02,0.23,0.0,-8.41,-129.53,35.85,274.22,-54.56,4.18,0.0,305.36,-50.38,254.98
865,23.32,40.85,64.44,3.04,0.12,0.0,-9.7,-136.49,37.83,273.21,-50.69,4.12,0.0,296.61,-46.56,250.05
868,21.1,39.26,59.98,3.73,0.27,0.0,-10.37,-141.91,35.38,280.99,-50.99,4.05,0.0,288.4,-46.94,241.47
871,23.81,26.04,66.72,2.73,0.6,0.0,-8.63,-123.44,37.81,274.43,-61.06,3.97,0.0,300.08,-57.08,242.99
874,18.7,47.47,60.18,3.71,0.18,0.0,-7.68,-121.95,35.95,265.65,-58.23,4.21,0.0,302.21,-54.01,248.2
877,26.03,37.89,56.07,3.9,0.0,0.0,-10.75,-131.84,38.89,272.17,-56.14,4.05,0.0,292.37,-52.09,240.28
880,15.95,33.83,60.95,4.41,0.94,0.0,-8.0,-139.36,38.54,273.92,-48.22,4.06,0.0,281.18,-44.17,237.02
883,21.39,46.48,61.57,4.55,0.23,0.0,-10.2,-125.18,39.57,266.79,-53.78,3.96,0.0,305.2,-49.82,255.38
886,25.02,33.18,57.22,5.33,0.13,0.0,-8.93,-140.42,36.23,275.86,-50.82,4.06,0.0,283.62,-46.76,236.86
889,17.99,36.17,58.62,3.82,0.09,0.0,-10.68,-122.85,36.38,269.34,-58.16,4.06,0.0,288.88,-54.09,234.78
892,27.03,32.86,59.85,3.59,0.33,0.0,-9.84,-138.24,37.23,279.15,-53.73,4.11,0.0,291.96,-49.62,242.34
895,28.8,34.31,63.69,4.26,0.03,0.0,-10.01,-134.17,36.84,273.91,-52.42,4.14,0.0,297.67,-48.27,249.39
898,22.47,39.4,61.81,3.1,0.22,0.0,-10.41,-125.11,37.04,263.99,-53.97,4.1,0.0,292.52,-49.88,242.64
901,20.59,33.24,60.3,3.55,0.21,0.0,-8.31,-130.63,41.56,274.11,-55.84,4.0,0.0,294.63,-51.84,242.79
904,18.49,41.1,62.17,4.02,0.11,0.0,-9.03,-124.76,36.3,266.18,-54.45,4.09,0.0,294.58,-50.36,244.22
907,20.15,32.33,65.31,3.22,0.71,0.0,-10.88,-126.38,38.94,266.52,-50.46,4.13,0.0,289.93,-46.33,243.6
