Frames,TDC
1,-21.34
4,-37.76
7,-38.98
10,-46.8
13,-31.88
16,-36.15
19,-35.16
22,-24.6
25,-48.06
28,-25.56
31,-36.54
34,-49.02
37,-26.45
40,-48.31
43,-26.29
46,-48.66
49,7.9
52,-29.41
55,-24.87
58,-32.8
61,-31.89
64,-20.83
67,-37.96
70,-33.56
73,-33.63
76,-33.83
79,-27.1
82,-27.08
85,-26.38
88,-11.64
91,-55.35
94,-44.63
97,-25.31
100,-29.53
103,-43.41
106,-44.97
109,-27.29
112,-28.6
115,-25.6
118,-24.52
121,-53.78
124,-28.05
127,-44.24
130,-13.85
133,-11.5
136,-22.47
139,-34.51
142,-41.68
145,-24.44
148,-7.23
151,-41.31
154,-18.84
157,-28.65
160,-37.29
163,-42.28
166,-27.64
169,-3.3
172,-37.07
175,-39.22
178,-35.1
181,-31.78
184,-26.97
187,-8.64
190,-53.17
193,-22.89
196,-18.09
199,-41.9
202,-32.15
205,-30.84
208,-39.85
211,-35.14
214,-32.58
217,-32.7
220,-41.92
223,-34.18
226,-34.66
229,1.27
232,-32.72
235,-26.58
238,-38.36
241,-22.13
244,-16.28
247,-27.99
250,-16.06
253,-28.87
256,-35.96
259,-28.39
262,-11.5
265,-13.31
268,-44.71
271,-2.33
274,-40.49
277,-39.94
280,-14.11
283,-24.24
286,-31.23
289,-46.24
292,-24.25
295,-28.95
298,-31.04
301,-46.29
304,-17.18
307,-25.34
310,-55.1
313,-39.88
316,-45.59
319,-41.02
322,-23.91
325,-36.31
328,-35.57
331,-37.36
334,-43.18
337,-50.88
340,-40.2
343,-61.79
346,-32.99
349,-52.71
352,-38.98
355,-26.45
358,18.36
361,-30.35
364,-1.22
367,-44.86
370,-40.25
373,-17.51
376,-27.63
379,-29.82
382,-22.07
385,-31.75
388,-46.99
391,-32.96
394,9.17
397,-52.83
400,-29.22
403,-16.81
406,-39.43
409,-26.93
412,-36.74
415,-27.64
418,-34.55
421,-23.85
424,3.97
427,-30.75
430,-25.57
433,-13.22
436,-49.71
439,-37.52
442,-34.21
445,-7.62
448,-30.48
451,-25.52
454,-23.43
457,-42.85
460,-23.27
463,-17.8
466,-34.12
469,-55.28
472,-13.29
475,-27.27
478,-42.81
481,-28.57
484,-43.3
487,-18.83
490,-26.75
493,-24.69
496,-39.72
499,-25.8
502,-26.32
505,-8.46
508,-0.9
511,-45.84
514,-12.55
517,-32.32
520,-13.69
523,-24.54
526,-51.1
529,-39.07
532,-49.31
535,-38.45
538,-17.16
541,-34.82
544,-37.9
547,-48.49
550,-39.96
553,-56.55
556,-27.69
559,-26.08
562,-20.15
565,-12.04
568,-14.41
571,-25.8
574,-39.19
577,-50.7
580,-30.55
583,-44.99
586,-18.54
589,-29.48
592,-9.31
595,-21.66
598,-20.1
601,-51.01
604,-39.24
607,-11.04
610,-29.92
613,-57.69
616,-7.89
619,-32.31
622,-33.68
625,-42.93
628,-37.61
631,-32.18
634,-11.54
637,-44.23
640,-24.85
643,-81.66
646,-22.8
649,-31.51
652,-31.2
655,-29.82
658,-38.42
661,-45.76
664,-29.01
667,-25.81
670,-47.23
673,-44.58
676,-23.58
679,-31.85
682,-47.87
685,-44.43
688,-40.14
691,-54.4
694,-62.06
697,-23.29
700,-39.78
703,-21.67
706,-46.3
709,-48.21
712,-23.28
715,-50.3
718,-35.28
721,-41.2
724,-46.85
727,-35.02
730,-37.19
733,-17.58
736,-62.51
739,-40.22
742,-29.66
745,-26.91
748,-32.29
751,-36.87
754,-35.55
757,-24.64
760,-38.9
763,-11.72
766,-44.47
769,-33.02
772,-58.77
775,-18.97
778,-25.21
781,-60.81
784,-58.91
787,-28.78
790,-60.74
793,-24.92
796,-32.02
799,-29.93
802,-33.93
805,-24.65
808,-32.31
811,-13.35
814,-15.1
817,-16.43
820,-19.12
823,-53.14
826,-37.72
829,-38.91
832,-44.52
835,-28.19
838,-32.98
841,-39.08
844,-31.38
847,-46.65
850,-35.43
853,-51.71
856,-40.77
859,-39.58
862,-27.32
865,-24.31
868,-27.06
871,-50.53
874,-10.78
877,-25.37
880,-35.44
883,-12.73
886,-40.91
889,-43.74
892,-52.31
895,-19.36
898,-53.6
901,-29.08
904,-24.28
907,-43.18
910,-32.3
913,-28.68
916,-34.59
919,-39.8
922,-23.44
925,-22.08
928,-30.54
931,-58.07
934,-13.23
937,-54.77
940,-29.32
943,-35.92
946,-22.63
949,-19.35
952,-39.53
955,-29.35
958,-39.47
961,-49.64
964,-39.54
967,-6.84
970,-51.43
973,-30.13
976,-29.56
979,-23.49
982,-41.02
985,-43.59
988,-40.24
991,-41.93
994,-35.2
997,-30.04
1000,-21.2
