Frames,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,684.48,1517.98,2035.89,186.09,103.61,-108.69,-1304.68,-11415.44,723.2,7805.4,-2089.58,56.68,227.84,-2032.9,-1805.06
SD,22.21,29.33,17.34,6.19,7.28,12.8,22.89,83.06,11.97,50.0,60.27,1.56,76.47,59.92,43.48
SEM,1.22,1.6,0.95,0.34,0.4,0.7,1.25,4.54,0.66,2.74,3.3,0.09,4.18,3.28,2.38
