Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-13.21,-7.68,14.95,-1.72,-20.89,13.23,-7.66
SD,11.73,10.13,14.26,1.46,19.6,12.94,7.32
SEM,0.64,0.55,0.78,0.08,1.07,0.71,0.4
