Frames,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,683.91,1515.51,2038.69,187.82,103.83,-103.9,-1311.58,-11495.78,725.08,7861.46,-2185.96,57.39,205.02,-2128.57,-1923.55
SD,23.3,30.61,16.7,5.44,6.76,10.4,23.91,81.33,12.7,50.8,66.61,1.7,93.41,65.7,49.94
SEM,1.27,1.68,0.91,0.3,0.37,0.57,1.31,4.45,0.7,2.78,3.64,0.09,5.11,3.6,2.73
