Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-8.49,-6.11,10.99,-1.06,-14.61,9.93,-4.67
SD,11.52,8.91,15.07,1.42,19.83,13.68,6.45
SEM,0.63,0.49,0.82,0.08,1.08,0.75,0.35
