Frames,TDC
1,24.45
4,5.88
7,3.49
10,7.81
13,25.96
16,10.42
19,17.25
22,11.52
25,10.58
28,24.37
31,26.42
34,4.19
37,19.46
40,-17.85
43,13.59
46,7.78
49,18.28
52,23.49
55,32.52
58,5.62
61,24.75
64,-0.67
67,2.35
70,33.04
73,2.59
76,25.18
79,12.8
82,30.27
85,-15.22
88,7.53
91,19.93
94,7.43
97,10.53
100,6.0
103,16.48
106,3.6
109,12.95
112,7.56
115,43.46
118,28.75
121,25.22
124,8.59
127,4.12
130,1.56
133,15.57
136,7.81
139,19.57
142,32.0
145,-9.42
148,36.83
151,39.68
154,18.14
157,20.5
160,1.8
163,10.86
166,32.69
169,17.37
172,17.02
175,22.66
178,20.87
181,41.19
184,5.9
187,23.75
190,47.82
193,4.82
196,9.51
199,-3.66
202,-6.94
205,7.59
208,34.4
211,23.89
214,-2.65
217,10.12
220,24.04
223,16.99
226,10.65
229,19.44
232,17.8
235,25.91
238,8.1
241,0.91
244,6.25
247,11.49
250,43.45
253,3.14
256,15.47
259,27.9
262,10.38
265,17.73
268,6.84
271,3.69
274,9.5
277,11.43
280,-0.02
283,20.81
286,-0.3
289,21.39
292,24.34
295,38.0
298,30.7
301,46.6
304,24.44
307,11.04
310,16.96
313,34.47
316,50.49
319,-2.36
322,14.77
325,20.31
328,14.34
331,22.65
334,46.61
337,39.34
340,42.43
343,40.97
346,57.42
349,34.78
352,18.65
355,46.46
358,23.56
361,68.22
364,19.34
367,70.42
370,30.94
373,57.85
376,61.36
379,65.51
382,34.14
385,41.75
388,51.78
391,61.53
394,44.23
397,16.95
400,59.94
403,31.64
406,29.38
409,31.09
412,33.13
415,45.36
418,34.18
421,59.03
424,37.17
427,30.03
430,27.85
433,45.58
436,21.06
439,17.21
442,22.74
445,37.33
448,8.31
451,46.43
454,1.15
457,22.21
460,20.54
463,41.5
466,32.79
469,36.71
472,17.03
475,22.4
478,44.96
481,48.89
484,43.18
487,54.15
490,20.84
493,46.07
496,43.56
499,4.54
502,26.3
505,31.12
508,26.68
511,27.33
514,48.48
517,37.16
520,46.63
523,31.81
526,26.26
529,18.05
532,15.1
535,38.51
538,45.41
541,45.77
544,57.95
547,11.27
550,26.27
553,14.6
556,32.84
559,26.62
562,35.82
565,19.95
568,35.78
571,4.66
574,15.85
577,27.81
580,39.74
583,13.75
586,23.64
589,14.6
592,47.15
595,50.7
598,12.88
601,56.78
604,43.0
607,43.19
610,31.8
613,25.99
616,51.08
619,44.55
622,29.56
625,48.19
628,52.95
631,36.37
634,50.84
637,49.39
640,27.17
643,45.59
646,46.83
649,59.12
652,26.69
655,26.03
658,27.16
661,23.91
664,31.44
667,25.28
670,29.7
673,75.54
676,16.9
679,30.13
682,20.81
685,16.3
688,6.52
691,33.62
694,13.93
697,27.15
700,18.38
703,42.35
706,18.77
709,54.04
712,49.0
715,15.46
718,26.65
721,40.06
724,37.9
727,33.87
730,19.17
733,27.11
736,48.91
739,43.02
742,54.3
745,16.16
748,27.56
751,40.03
754,58.72
757,25.99
760,23.06
763,36.74
766,30.11
769,22.16
772,43.98
775,46.59
778,40.3
781,48.47
784,47.75
787,27.0
790,15.72
793,41.51
796,32.89
799,56.18
802,49.32
805,27.28
808,55.57
811,28.65
814,44.97
817,20.33
820,43.89
823,50.33
826,22.48
829,23.56
832,35.11
835,41.35
838,19.57
841,26.89
844,41.65
847,29.95
850,54.95
853,34.39
856,32.54
859,28.07
862,13.81
865,27.24
868,26.84
871,22.68
874,19.38
877,40.99
880,38.06
883,39.56
886,42.76
889,26.11
892,30.29
895,26.25
898,31.71
901,53.33
904,16.65
907,60.22
910,14.2
913,49.52
916,35.66
919,42.21
922,29.51
925,43.59
928,54.16
931,-5.89
934,17.84
937,32.0
940,7.1
943,47.73
946,13.38
949,42.78
952,28.07
955,47.78
958,19.17
961,14.97
964,32.06
967,39.99
970,39.66
973,20.12
976,25.17
979,18.42
982,35.9
985,34.55
988,57.28
991,31.52
994,36.09
997,32.78
1000,27.86
