Frames,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,694.91,1529.42,2032.44,189.1,101.16,-93.71,-1287.15,-10679.02,744.79,7217.81,-2497.6,59.48,449.76,-2438.12,-1988.36
SD,21.45,31.36,17.98,6.32,6.8,11.47,19.48,97.13,12.82,52.62,73.61,1.24,89.73,73.04,47.13
SEM,1.17,1.72,0.98,0.35,0.37,0.63,1.07,5.31,0.7,2.88,4.03,0.07,4.91,4.0,2.58
