POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
385,659.58,1501.37,1965.01,178.08,99.31,-107.27,-1248.87,-10659.43,707.26,6987.57,-2388.96,58.8,0.0,82.61,-2330.16,-2247.55
388,668.54,1485.83,1950.62,179.05,101.41,-90.99,-1246.36,-10466.52,706.02,6952.93,-2520.97,60.35,0.0,240.52,-2460.62,-2220.1
391,667.97,1469.82,1987.41,173.33,114.43,-96.72,-1238.96,-10442.05,704.4,6912.0,-2538.75,59.83,0.0,251.62,-2478.92,-2227.31
394,684.19,1507.36,1972.47,177.8,106.47,-95.67,-1220.63,-10600.75,701.49,6937.56,-2433.34,57.09,0.0,170.29,-2376.25,-2205.95
397,677.09,1487.13,1978.32,173.44,100.48,-102.38,-1236.71,-10617.26,702.55,6951.04,-2408.04,57.56,0.0,113.69,-2350.48,-2236.78
400,687.39,1500.97,1948.09,189.81,91.94,-116.48,-1262.28,-10494.72,708.87,6912.34,-2504.32,58.62,0.0,165.94,-2445.7,-2279.75
403,677.22,1478.13,1936.17,175.71,91.93,-96.25,-1273.12,-10539.2,708.14,6956.88,-2461.41,58.02,0.0,115.61,-2403.39,-2287.78
406,710.12,1526.32,1964.44,194.08,94.19,-110.24,-1265.45,-10525.04,697.57,6988.27,-2513.29,57.89,0.0,274.27,-2455.4,-2181.12
409,651.41,1436.7,1970.26,179.94,104.67,-102.82,-1249.92,-10458.16,734.98,7033.6,-2576.28,59.85,0.0,300.66,-2516.43,-2215.77
412,670.18,1463.21,1969.57,183.1,99.58,-107.52,-1249.19,-10370.34,712.02,6884.11,-2600.54,59.75,0.0,254.72,-2540.79,-2286.07
415,673.42,1449.59,1960.51,179.5,93.51,-95.73,-1248.0,-10613.12,699.53,7004.91,-2468.13,58.63,0.0,104.12,-2409.49,-2305.37
418,641.42,1566.29,1964.74,189.64,111.46,-100.54,-1231.66,-10502.93,709.18,6888.11,-2471.37,59.23,0.0,235.71,-2412.14,-2176.43
421,667.49,1475.25,1943.85,182.47,99.77,-94.69,-1225.25,-10508.64,729.05,6943.36,-2502.16,59.57,0.0,212.65,-2442.59,-2229.94
424,680.44,1508.66,1980.03,175.72,110.73,-98.01,-1216.01,-10614.97,705.03,6930.05,-2419.44,58.82,0.0,161.68,-2360.62,-2198.94
