GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
16,-0.0,0.0,0.0,-0.0,-0.0,0.0,-17.35,-26.72,-0.0,0.0,32.38,-3.15,-44.07,29.23,-14.84
19,0.0,-0.0,-0.0,-0.0,0.0,0.0,-15.57,-20.02,-0.0,0.0,25.41,-2.15,-35.59,23.26,-12.33
22,0.0,-0.0,0.0,-0.0,0.0,0.0,-21.7,-7.58,-0.0,-0.0,21.59,-2.78,-29.29,18.81,-10.48
25,0.0,0.0,0.0,0.0,0.0,0.0,-19.54,-15.66,-0.0,-0.0,22.65,-2.49,-35.2,20.15,-15.05
28,-0.0,-0.0,0.0,0.0,0.0,0.0,-23.67,-12.69,0.0,0.0,24.4,-2.83,-36.36,21.56,-14.8
31,-0.0,-0.0,0.0,0.0,0.0,0.0,-22.17,-9.64,-0.0,-0.0,19.35,-2.56,-31.81,16.78,-15.03
34,-0.0,-0.0,0.0,0.0,-0.0,0.0,-14.95,-13.66,-0.0,0.0,22.21,-2.18,-28.61,20.03,-8.58
37,0.0,0.0,0.0,-0.0,-0.0,0.0,-17.66,-13.38,0.0,0.0,20.62,-1.99,-31.04,18.62,-12.41
40,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-22.46,-12.28,-0.0,-0.0,24.97,-3.09,-34.74,21.87,-12.87
43,-0.0,0.0,-0.0,0.0,-0.0,0.0,-30.82,-12.86,0.0,0.0,26.67,-3.93,-43.68,22.73,-20.95
46,-0.0,-0.0,-0.0,0.0,0.0,0.0,-27.8,-7.7,-0.0,0.0,22.15,-3.53,-35.51,18.63,-16.88
49,0.0,0.0,-0.0,-0.0,-0.0,0.0,-24.95,-6.21,-0.0,-0.0,18.34,-2.75,-31.16,15.59,-15.57
52,0.0,0.0,0.0,-0.0,-0.0,0.0,-20.9,-14.07,-0.0,0.0,22.97,-2.55,-34.97,20.42,-14.56
55,0.0,0.0,0.0,-0.0,-0.0,0.0,-24.61,-18.82,0.0,-0.0,31.56,-3.15,-43.43,28.41,-15.01
58,0.0,0.0,-0.0,-0.0,-0.0,0.0,-19.07,-7.77,0.0,0.0,21.97,-2.62,-26.84,19.35,-7.49
61,0.0,-0.0,0.0,0.0,0.0,0.0,-23.51,-10.04,-0.0,-0.0,20.16,-2.79,-33.55,17.38,-16.18
64,0.0,0.0,0.0,0.0,0.0,0.0,-20.62,-11.28,0.0,0.0,17.33,-2.33,-31.9,15.0,-16.9
67,-0.0,-0.0,0.0,0.0,-0.0,0.0,-21.28,-10.4,-0.0,0.0,19.11,-2.25,-31.68,16.86,-14.83
70,0.0,-0.0,-0.0,0.0,-0.0,0.0,-30.6,-15.52,0.0,-0.0,28.88,-3.75,-46.13,25.13,-21.0
73,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-13.73,-11.85,-0.0,-0.0,21.63,-2.64,-25.58,18.99,-6.59
76,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-19.98,-12.12,0.0,0.0,27.65,-2.78,-32.1,24.87,-7.23
79,0.0,0.0,0.0,0.0,-0.0,0.0,-17.11,-5.11,-0.0,0.0,20.17,-2.56,-22.22,17.61,-4.61
82,0.0,0.0,0.0,0.0,0.0,0.0,-19.85,-10.77,-0.0,0.0,25.68,-2.51,-30.63,23.17,-7.45
85,0.0,-0.0,0.0,0.0,0.0,0.0,-19.55,-1.94,0.0,-0.0,15.55,-2.42,-21.49,13.13,-8.37
88,0.0,-0.0,0.0,0.0,-0.0,0.0,-16.75,-8.41,-0.0,0.0,17.31,-2.59,-25.16,14.72,-10.44
91,0.0,0.0,-0.0,-0.0,0.0,0.0,-16.0,-19.41,-0.0,-0.0,29.88,-3.36,-35.41,26.52,-8.89
94,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-18.04,-9.98,-0.0,-0.0,21.18,-2.82,-28.02,18.36,-9.66
97,-0.0,-0.0,-0.0,0.0,0.0,0.0,-19.48,-6.43,-0.0,0.0,18.02,-2.78,-25.91,15.24,-10.67
100,0.0,0.0,-0.0,0.0,0.0,0.0,-25.47,-7.86,-0.0,0.0,23.15,-3.33,-33.33,19.83,-13.5
103,0.0,0.0,-0.0,-0.0,-0.0,0.0,-27.02,-10.24,0.0,0.0,23.47,-3.62,-37.27,19.85,-17.41
106,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-15.41,-1.03,0.0,0.0,13.58,-2.1,-16.43,11.47,-4.96
109,-0.0,0.0,-0.0,-0.0,0.0,0.0,-17.33,-5.16,0.0,0.0,15.22,-2.22,-22.49,13.01,-9.48
112,0.0,-0.0,0.0,0.0,0.0,0.0,-17.74,-12.13,0.0,0.0,20.95,-2.63,-29.88,18.32,-11.55
115,0.0,0.0,0.0,0.0,0.0,0.0,-17.53,-1.42,-0.0,0.0,12.77,-2.25,-18.96,10.51,-8.44
118,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-18.42,-2.59,-0.0,0.0,15.8,-2.86,-21.0,12.94,-8.06
121,0.0,-0.0,0.0,0.0,-0.0,0.0,-11.71,-11.8,0.0,0.0,17.3,-1.56,-23.51,15.75,-7.76
