Frames,TDC
1,-3.83
4,-16.01
7,-13.8
10,-8.67
13,-6.61
16,3.76
19,0.62
22,0.33
25,-0.68
28,1.51
31,0.1
34,6.24
37,11.73
40,-5.02
43,0.89
46,0.05
49,-5.38
52,-0.9
55,-2.77
58,-9.96
61,-7.8
64,-0.14
67,-0.51
70,-3.16
73,-7.7
76,-2.42
79,-0.27
82,-1.44
85,-2.06
88,-0.68
91,-1.53
94,0.08
97,-2.35
100,-5.24
103,-0.5
106,0.28
109,-3.25
112,0.08
115,-0.24
118,-0.88
121,-1.14
124,1.1
127,1.99
130,-6.03
133,1.67
136,-1.2
139,-6.71
142,-4.28
145,-4.21
148,-1.42
151,0.32
154,-1.71
157,-1.65
160,-3.01
163,-2.47
166,-3.89
169,-2.2
172,-2.14
175,-5.31
178,-5.1
181,-3.48
184,-2.77
187,-4.63
190,-3.66
193,-3.31
196,-3.81
199,-2.27
202,-1.17
205,-3.97
208,-6.62
211,-2.09
214,-1.34
217,-3.21
220,-5.2
223,-5.25
226,-2.91
229,-4.39
232,-3.52
235,-1.49
238,1.06
241,-1.91
244,-1.39
247,-2.0
250,0.19
253,-1.24
256,-3.08
259,-2.21
262,-2.82
265,-2.41
268,-0.92
271,-0.54
274,-5.85
277,-3.39
280,-4.74
283,-4.68
286,-0.58
289,-1.72
292,-2.88
295,-3.23
298,-3.04
301,-1.91
304,-3.07
307,-4.66
310,-4.67
313,0.29
316,-2.73
319,-2.94
322,-4.47
325,-6.72
328,-0.99
331,-7.28
334,-1.46
337,-4.35
340,-2.96
343,-2.57
346,-3.07
349,-0.47
352,-4.63
355,-3.82
358,-1.92
361,-3.32
364,-5.02
367,2.75
370,-5.14
373,-7.19
376,-4.07
379,2.54
382,-6.19
385,-8.72
388,-6.8
391,0.13
394,-8.63
397,-6.1
400,-2.61
403,-7.06
406,-4.24
409,-7.15
412,-1.41
415,-1.48
418,-2.63
421,1.0
424,-1.44
427,-5.0
430,-0.68
433,-0.98
436,-1.1
439,-1.8
442,1.79
445,-4.25
448,-4.81
451,-2.63
454,-2.62
457,-4.15
460,-2.82
463,-2.08
466,-2.37
469,-2.23
472,-0.58
475,-1.41
478,2.1
481,0.35
484,4.83
487,-2.89
490,-3.93
493,-2.48
496,10.61
499,3.41
502,3.11
505,4.66
508,1.1
511,-7.6
514,-6.45
517,-1.31
520,-4.74
523,-3.11
526,-0.97
529,-5.34
532,-1.08
535,-3.48
538,-5.74
541,-4.15
544,-2.43
547,0.02
550,-2.02
553,-5.17
556,-1.12
559,2.94
562,0.52
565,0.03
568,-2.14
571,-4.64
574,0.35
577,3.68
580,-1.53
583,3.95
586,0.63
589,-1.06
592,-3.28
595,-5.07
598,-4.32
601,-7.12
604,-3.88
607,-3.97
610,-1.88
613,-6.86
616,-0.53
619,-1.01
622,0.53
625,-2.41
628,-2.22
631,-0.01
634,-0.04
637,-0.04
640,-0.01
643,-0.03
646,-3.24
649,-2.75
652,-0.02
655,-0.03
658,-0.07
661,-0.09
664,-0.11
667,-0.24
670,-0.25
673,0.01
676,0.01
679,-0.13
682,-0.1
685,-0.27
688,-0.11
691,-0.14
694,-0.07
697,-0.14
700,-0.14
703,0.01
706,-0.15
709,-0.12
712,-0.07
715,-0.04
718,0.06
721,-0.11
724,-0.08
727,0.02
730,-0.05
733,-0.11
736,-0.13
739,0.01
742,-0.1
745,-0.11
748,-0.03
751,0.08
754,-0.26
757,-0.1
760,0.01
763,-0.09
766,-0.07
769,-0.18
772,0.01
775,-0.02
778,-0.09
781,-0.06
784,-0.1
787,-0.28
790,-0.0
793,-0.11
796,-0.14
799,-0.09
802,-0.04
805,-0.12
808,-0.11
811,-0.08
814,-0.12
817,-0.09
820,-0.1
823,-0.06
826,-0.21
829,-0.14
832,-0.14
835,-0.08
838,-0.05
841,-0.02
844,-0.11
847,-0.0
850,-0.12
853,-0.05
856,-0.13
859,-0.24
862,-0.09
865,-0.06
868,0.02
871,-0.01
874,0.12
877,-0.09
880,-0.11
883,-0.1
886,-0.11
889,0.17
892,0.08
895,-0.12
898,-0.08
901,-0.08
904,-0.17
907,-0.1
910,-0.05
913,0.07
916,-0.11
919,-0.05
922,0.01
925,-0.14
928,-0.09
931,0.0
934,-0.04
937,-0.13
940,-0.03
943,-0.13
946,-0.12
949,-0.0
952,-0.11
955,-0.11
958,-0.14
961,-0.14
964,-0.11
967,-0.33
970,-0.19
973,-0.12
976,-0.09
979,-0.11
982,0.01
985,-0.09
988,0.01
991,-0.16
994,0.0
997,-0.1
1000,0.01
