Frames,TDC
1,-177.46
4,-190.39
7,-179.41
10,-212.99
13,-160.08
16,-181.49
19,-183.73
22,-197.38
25,-182.73
28,-177.06
31,-193.14
34,-163.17
37,-170.57
40,-194.21
43,-164.93
46,-178.56
49,-195.69
52,-178.69
55,-177.96
58,-177.12
61,-164.89
64,-149.88
67,-165.66
70,-173.02
73,-198.56
76,-169.72
79,-159.08
82,-174.45
85,-177.24
88,-170.21
91,-192.02
94,-182.53
97,-158.94
100,-175.66
103,-194.82
106,-176.62
109,-170.51
112,-186.6
115,-184.19
118,-185.66
121,-163.83
124,-172.06
127,-176.51
130,-181.17
133,-202.58
136,-174.5
139,-192.69
142,-170.1
145,-192.35
148,-172.12
151,-193.16
154,-190.1
157,-172.29
160,-164.12
163,-196.3
166,-206.72
169,-165.56
172,-182.54
175,-195.57
178,-192.28
181,-167.17
184,-178.39
187,-172.02
190,-188.73
193,-190.02
196,-185.07
199,-200.01
202,-191.03
205,-198.47
208,-199.81
211,-197.72
214,-202.42
217,-187.95
220,-191.16
223,-211.25
226,-181.06
229,-186.38
232,-190.7
235,-190.62
238,-164.32
241,-184.3
244,-194.69
247,-189.41
250,-197.22
253,-180.27
256,-187.37
259,-187.96
262,-167.06
265,-198.08
268,-192.52
271,-143.2
274,-175.84
277,-191.83
280,-195.69
283,-166.68
286,-185.32
289,-198.83
292,-171.33
295,-207.38
298,-186.74
301,-188.38
304,-179.35
307,-189.12
310,-188.98
313,-171.35
316,-193.8
319,-187.9
322,-148.68
325,-180.24
328,-185.8
331,-181.78
334,-184.88
337,-173.68
340,-180.0
343,-180.11
346,-167.96
349,-192.66
352,-181.98
355,-166.9
358,-178.48
361,-191.98
364,-186.86
367,-176.33
370,-167.3
373,-201.36
376,-182.31
379,-169.95
382,-214.91
385,-204.16
388,-208.16
391,-193.15
394,-194.54
397,-195.86
400,-163.6
403,-170.92
406,-188.2
409,-211.11
412,-177.5
415,-182.43
418,-204.96
421,-183.07
424,-196.63
427,-180.1
430,-166.51
433,-180.33
436,-189.36
439,-200.31
442,-195.87
445,-194.32
448,-194.83
451,-188.0
454,-169.76
457,-173.09
460,-182.09
463,-189.31
466,-191.47
469,-189.45
472,-186.67
475,-175.87
478,-193.9
481,-169.34
484,-193.85
487,-190.87
490,-190.75
493,-193.22
496,-194.63
499,-179.06
502,-184.26
505,-178.89
508,-182.11
511,-193.25
514,-178.13
517,-181.11
520,-195.96
523,-206.84
526,-200.16
529,-177.15
532,-168.69
535,-197.61
538,-179.28
541,-193.79
544,-170.8
547,-188.22
550,-171.34
553,-186.56
556,-186.8
559,-175.76
562,-178.69
565,-188.61
568,-175.1
571,-218.75
574,-189.59
577,-187.62
580,-178.39
583,-203.97
586,-166.73
589,-198.63
592,-173.24
595,-175.8
598,-192.34
601,-174.46
604,-203.94
607,-203.48
610,-180.1
613,-180.8
616,-170.38
619,-178.82
622,-167.84
625,-200.43
628,-179.9
631,-186.66
634,-192.83
637,-180.51
640,-195.48
643,-188.89
646,-204.49
649,-206.46
652,-182.91
655,-176.91
658,-174.8
661,-183.72
664,-182.86
667,-193.46
670,-193.24
673,-187.78
676,-186.37
679,-190.18
682,-176.28
685,-190.26
688,-156.04
691,-190.26
694,-195.64
697,-154.25
700,-194.75
703,-197.48
706,-186.8
709,-194.71
712,-178.49
715,-173.44
718,-187.79
721,-173.14
724,-190.63
727,-171.5
730,-188.23
733,-193.17
736,-188.41
739,-170.62
742,-193.69
745,-195.59
748,-167.15
751,-189.95
754,-176.58
757,-195.53
760,-157.73
763,-180.36
766,-179.69
769,-190.7
772,-196.69
775,-181.87
778,-182.28
781,-181.35
784,-186.59
787,-191.77
790,-176.47
793,-184.5
796,-171.11
799,-206.26
802,-187.25
805,-185.66
808,-193.62
811,-172.96
814,-180.61
817,-192.46
820,-161.72
823,-181.82
826,-174.6
829,-175.11
832,-137.05
835,-194.55
838,-168.26
841,-181.65
844,-199.8
847,-176.57
850,-168.73
853,-184.7
856,-170.08
859,-212.84
862,-173.12
865,-192.25
868,-192.82
871,-166.32
874,-170.11
877,-187.25
880,-192.63
883,-177.08
886,-193.3
889,-139.44
892,-191.1
895,-194.67
898,-170.47
901,-176.83
904,-191.25
907,-180.19
910,-190.74
913,-188.06
916,-167.78
919,-185.55
922,-202.39
925,-180.96
928,-165.25
931,-153.69
934,-149.36
937,-167.74
940,-169.23
943,-158.75
946,-187.02
949,-168.96
952,-179.0
955,-184.2
958,-178.98
961,-196.36
964,-172.37
967,-165.82
970,-162.98
973,-163.04
976,-190.57
979,-160.03
982,-168.16
985,-162.42
988,-173.96
991,-199.53
994,-155.84
997,-169.78
1000,-177.94
