Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-10.33,-7.47,14.88,-1.52,-17.8,13.36,-4.44
SD,9.56,10.28,14.81,1.3,17.33,13.65,4.94
SEM,0.52,0.56,0.81,0.07,0.95,0.75,0.27
