Frames,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,687.93,1513.44,2046.01,187.61,103.43,-109.82,-1324.74,-11503.21,724.25,7729.02,-2088.4,55.24,53.92,-2033.16,-1979.24
SD,22.82,29.6,18.6,6.37,7.07,11.79,19.08,91.79,12.86,50.61,62.74,0.82,83.12,62.41,45.62
SEM,1.25,1.62,1.02,0.35,0.39,0.64,1.04,5.02,0.7,2.77,3.43,0.05,4.55,3.41,2.5
