Frames,TDC
1,-7.4
4,-9.71
7,-10.51
10,-7.67
13,-11.29
16,-6.37
19,-9.05
22,-6.85
25,-5.87
28,-9.7
31,-4.32
34,-6.79
37,-6.68
40,-7.43
43,-6.51
46,-3.66
49,-6.09
52,-5.77
55,-3.9
58,-5.9
61,-9.3
64,-2.76
67,-2.8
70,-3.61
73,-2.25
76,-3.63
79,-5.78
82,-4.64
85,-4.88
88,-6.63
91,-6.62
94,-6.44
97,-6.34
100,-10.5
103,-8.17
106,-5.5
109,-8.19
112,-8.16
115,-4.23
118,-13.18
121,-9.79
124,-10.12
127,-7.19
130,-6.08
133,-9.96
136,-12.0
139,-14.45
142,-11.22
145,-11.39
148,-10.62
151,-12.83
154,-10.9
157,-12.16
160,-12.51
163,-9.71
166,-15.29
169,-10.62
172,-10.81
175,-13.84
178,-15.64
181,-16.44
184,-11.7
187,-13.95
190,-4.97
193,-12.35
196,-8.26
199,-10.56
202,-5.53
205,-8.09
208,-8.25
211,-8.03
214,-9.62
217,-15.01
220,-11.94
223,-10.79
226,-14.64
229,-16.59
232,-14.22
235,-12.26
238,-10.78
241,-9.77
244,-10.26
247,-11.74
250,-13.87
253,-12.02
256,-13.41
259,-10.66
262,-10.67
265,-13.3
268,-5.99
271,-11.34
274,-6.34
277,-10.13
280,-9.27
283,-10.88
286,-12.24
289,-9.63
292,-6.94
295,-11.74
298,-10.63
301,-11.16
304,-10.45
307,-7.18
310,-11.27
313,-14.69
316,-10.92
319,-13.22
322,-8.62
325,-11.39
328,-13.5
331,-11.79
334,-7.02
337,-7.39
340,-9.29
343,-8.39
346,-13.15
349,-10.95
352,-2.51
355,-5.82
358,-10.19
361,-9.6
364,-10.25
367,-10.17
370,-1.91
373,-11.64
376,-11.48
379,-10.75
382,-8.07
385,-5.11
388,-12.91
391,-12.88
394,-3.7
397,-12.25
400,-13.11
403,-11.88
406,-11.36
409,-12.58
412,-15.03
415,-12.48
418,-10.53
421,-2.62
424,-12.95
427,-10.63
430,-8.06
433,-9.74
436,-7.86
439,-10.52
442,-8.43
445,-7.29
448,-10.01
451,-7.58
454,-8.73
457,-8.78
460,-8.73
463,-7.26
466,-9.84
469,-14.21
472,-16.86
475,-15.79
478,-12.9
481,-12.86
484,-8.92
487,-9.14
490,-11.97
493,-11.87
496,-8.36
499,-10.79
502,-5.63
505,-12.12
508,-6.51
511,-12.24
514,-9.77
517,-10.23
520,-8.45
523,-8.3
526,-12.22
529,-9.89
532,-10.71
535,-9.72
538,-15.34
541,-16.5
544,-14.17
547,-12.9
550,-11.61
553,-12.65
556,-15.07
559,-11.58
562,-8.71
565,-12.67
568,-12.77
571,-11.12
574,-10.33
577,-11.7
580,-12.95
583,-10.64
586,-13.73
589,-3.76
592,-5.81
595,-6.1
598,-6.34
601,-6.39
604,-9.24
607,-5.97
610,-4.96
613,-7.11
616,-6.39
619,-5.28
622,-2.24
625,-4.23
628,-6.79
631,-8.47
634,-6.32
637,-6.32
640,-5.68
643,-6.23
646,-4.61
649,-5.91
652,-0.83
655,-3.46
658,-4.72
661,-10.12
664,-9.97
667,-6.49
670,-10.78
673,-3.45
676,-8.92
679,-7.92
682,-10.28
685,-6.49
688,-9.77
691,-10.45
694,-6.26
697,-2.92
700,-10.45
703,-10.43
706,-10.34
709,-9.78
712,-11.28
715,-7.49
718,-8.64
721,-7.39
724,-8.3
727,-10.11
730,-4.26
733,-3.04
736,-9.71
739,-10.44
742,-9.45
745,-6.98
748,-13.47
751,-9.37
754,-13.18
757,-6.73
760,-8.34
763,-3.11
766,-3.61
769,-6.48
772,-4.95
775,-8.36
778,-4.36
781,-8.93
784,-8.27
787,-9.58
790,-12.24
793,-9.5
796,-10.17
799,-11.97
802,-10.92
805,-8.78
808,-5.91
811,-11.81
814,-14.22
817,-7.0
820,-11.73
823,-9.84
826,-12.64
829,-8.88
832,-10.39
835,-6.84
838,-2.49
841,-9.28
844,-8.3
847,-6.8
850,-8.49
853,-13.57
856,-11.83
859,-7.77
862,-4.13
865,-6.91
868,-10.73
871,-9.04
874,-7.45
877,-4.61
880,-8.47
883,-10.47
886,-6.04
889,-10.42
892,-6.44
895,-8.04
898,-3.99
901,-6.86
904,-6.3
907,-4.76
910,-9.07
913,-9.2
916,-8.89
919,-6.2
922,-8.01
925,-9.39
928,-7.95
931,-4.41
934,-6.52
937,-8.1
940,-7.69
943,-5.15
946,-10.37
949,-7.39
952,-11.51
955,-4.38
958,-2.24
961,-4.9
964,-8.29
967,-7.33
970,-16.19
973,-7.63
976,-9.23
979,-8.39
982,-9.23
985,-6.06
988,-8.24
991,-5.79
994,-9.64
997,-4.44
1000,-11.21
