POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
793,699.52,1522.78,2042.45,189.71,107.91,-114.49,-1357.34,-11500.86,721.69,7753.08,-2115.5,55.04,0.0,64.44,-2060.46,-1996.02
796,681.31,1545.06,2083.07,177.79,93.11,-109.53,-1322.53,-11572.9,733.77,7807.98,-2080.76,54.13,0.0,117.14,-2026.63,-1909.48
799,677.82,1521.41,2027.42,182.93,96.45,-111.0,-1338.08,-11479.2,711.45,7732.53,-2120.22,54.38,0.0,21.74,-2065.83,-2044.09
802,673.74,1546.44,2075.71,191.2,104.63,-109.41,-1328.47,-11329.3,727.32,7641.79,-2191.83,53.84,0.0,193.65,-2137.98,-1944.34
805,704.11,1573.89,2025.05,211.44,101.99,-112.24,-1335.59,-11583.62,711.75,7749.43,-2048.89,54.63,0.0,46.19,-1994.26,-1948.07
808,684.56,1495.48,2061.42,191.05,105.81,-95.03,-1332.69,-11524.32,720.8,7710.55,-2055.72,54.69,0.0,17.62,-2001.03,-1983.41
811,674.08,1579.19,2075.51,190.69,100.33,-135.67,-1313.72,-11463.9,705.52,7688.16,-2113.28,54.17,0.0,100.19,-2059.11,-1958.92
814,654.2,1506.0,2058.29,189.27,116.14,-115.94,-1334.01,-11446.15,730.97,7740.23,-2119.81,53.96,0.0,98.99,-2065.85,-1966.85
817,721.75,1522.22,2027.03,186.48,108.7,-122.86,-1346.85,-11369.59,719.63,7698.6,-2160.52,54.47,0.0,145.11,-2106.05,-1960.94
820,682.81,1471.86,2046.18,183.15,106.55,-112.1,-1359.95,-11425.16,706.82,7743.43,-2147.66,54.86,0.0,43.58,-2092.8,-2049.22
823,665.42,1531.79,2028.73,186.48,100.76,-111.21,-1314.6,-11449.08,742.01,7747.76,-2178.58,55.65,0.0,128.06,-2122.94,-1994.87
826,712.46,1480.32,2060.25,190.69,96.98,-129.59,-1345.81,-11475.53,728.31,7752.28,-2116.29,54.87,0.0,70.35,-2061.42,-1991.07
829,692.82,1457.68,2016.07,172.52,103.15,-100.71,-1310.45,-11415.57,716.57,7723.59,-2163.07,56.92,0.0,55.67,-2106.15,-2050.48
832,697.62,1539.36,2062.75,183.14,101.46,-114.66,-1339.74,-11338.06,725.02,7621.36,-2177.66,55.88,0.0,138.24,-2121.78,-1983.54
835,684.6,1537.65,2074.87,174.51,101.35,-102.91,-1337.64,-11349.39,708.56,7593.43,-2115.44,55.73,0.0,85.03,-2059.71,-1974.68
838,714.83,1474.15,2055.19,190.65,108.52,-121.55,-1310.79,-11468.18,759.66,7640.12,-2042.79,55.18,0.0,42.61,-1987.62,-1945.01
841,726.43,1502.82,2059.43,178.09,101.25,-117.45,-1330.76,-11367.27,746.02,7598.38,-2080.46,56.27,0.0,96.93,-2024.19,-1927.26
844,665.45,1520.1,2079.46,183.95,109.68,-120.14,-1346.19,-11481.8,735.34,7661.72,-2070.94,55.36,0.0,7.57,-2015.58,-2008.01
847,665.65,1525.64,2069.48,183.5,112.96,-128.06,-1309.46,-11553.61,717.58,7685.3,-2021.42,55.57,0.0,-31.03,-1965.85,-1996.88
850,687.32,1525.07,2068.27,180.6,109.28,-109.64,-1319.6,-11454.77,721.16,7696.34,-2127.62,56.67,0.0,104.04,-2070.95,-1966.91
853,664.38,1487.06,2040.2,185.88,103.46,-101.43,-1295.81,-11460.11,715.73,7704.09,-2131.47,56.86,0.0,43.45,-2074.61,-2031.16
856,679.2,1535.17,2008.71,197.13,97.88,-105.8,-1344.86,-11447.11,709.8,7712.05,-2156.6,55.52,0.0,42.17,-2101.08,-2058.91
859,703.5,1552.06,2049.64,186.21,104.65,-109.46,-1321.3,-11532.73,717.79,7683.67,-2081.49,55.08,0.0,34.03,-2026.41,-1992.39
862,696.45,1494.02,2078.17,182.19,112.67,-115.13,-1319.76,-11499.08,719.74,7688.29,-2093.16,56.71,0.0,37.56,-2036.45,-1998.89
865,703.2,1515.52,2067.94,184.58,107.47,-116.9,-1320.0,-11559.08,724.7,7742.61,-2076.61,56.77,0.0,50.03,-2019.84,-1969.81
868,728.25,1566.65,2046.8,200.66,99.81,-111.76,-1292.63,-11547.64,733.64,7776.17,-2116.71,57.01,0.0,199.97,-2059.7,-1859.73
871,680.2,1561.05,2098.49,186.48,114.79,-126.09,-1290.89,-11590.51,734.89,7677.63,-2037.72,56.2,0.0,46.04,-1981.52,-1935.48
