Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-20.02,-22.33,30.46,-2.84,-42.34,27.62,-14.72
SD,4.77,14.82,10.68,0.43,13.84,10.5,4.93
SEM,0.26,0.81,0.58,0.02,0.76,0.57,0.27
