GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
988,24.43,39.5,65.04,3.38,0.06,0.0,-7.48,-115.21,34.03,264.55,-55.64,5.41,308.32,-50.24,258.09
991,17.51,33.55,55.84,4.45,0.07,0.0,-3.1,-121.73,40.6,267.66,-54.18,5.34,294.85,-48.84,246.0
994,21.42,35.56,67.34,3.12,0.3,0.0,-6.78,-134.82,38.65,271.04,-46.49,5.38,295.83,-41.11,254.72
997,24.84,37.96,57.14,3.2,0.62,0.0,-5.74,-115.39,34.83,261.13,-54.93,5.4,298.57,-49.52,249.05
1000,22.0,34.89,59.33,3.15,0.44,0.0,-4.23,-130.36,34.8,270.34,-50.27,5.45,290.35,-44.82,245.53

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-29.1,-36.47,0.0,-0.0,51.99,-4.96,-65.57,47.03,-18.54
4,0.0,0.0,0.0,-0.0,-0.0,0.0,-24.99,-27.26,-0.0,0.0,43.63,-4.04,-52.25,39.58,-12.67
7,0.0,0.0,0.0,-0.0,-0.0,0.0,-26.94,-35.58,-0.0,0.0,49.87,-4.21,-62.53,45.66,-16.86
10,-0.0,-0.0,0.0,0.0,0.0,0.0,-16.09,-12.38,-0.0,-0.0,22.97,-2.43,-28.47,20.54,-7.93
13,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-12.55,-14.04,0.0,-0.0,22.64,-1.79,-26.59,20.86,-5.74
16,0.0,-0.0,-0.0,0.0,-0.0,0.0,-15.52,-8.86,-0.0,0.0,23.21,-2.29,-24.38,20.92,-3.46
19,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-15.48,-8.32,0.0,-0.0,17.27,-1.93,-23.8,15.34,-8.46
22,-0.0,-0.0,0.0,0.0,0.0,0.0,-9.83,-1.6,0.0,0.0,11.18,-1.33,-11.43,9.85,-1.59
25,0.0,0.0,0.0,0.0,-0.0,0.0,-13.14,-10.69,-0.0,0.0,16.27,-2.06,-23.84,14.21,-9.62
28,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-18.07,-6.4,-0.0,0.0,17.87,-2.11,-24.47,15.76,-8.71
31,0.0,0.0,-0.0,0.0,0.0,0.0,-14.09,-8.51,0.0,0.0,20.86,-1.81,-22.6,19.05,-3.55
34,0.0,0.0,0.0,0.0,0.0,0.0,-18.95,-8.47,-0.0,-0.0,25.19,-2.7,-27.42,22.5,-4.92
37,0.0,-0.0,-0.0,0.0,-0.0,0.0,-12.17,-11.19,-0.0,0.0,18.79,-1.9,-23.36,16.89,-6.47
40,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-15.38,-6.63,0.0,0.0,17.71,-2.01,-22.01,15.7,-6.31
43,-0.0,0.0,0.0,-0.0,-0.0,0.0,-13.38,-15.62,0.0,-0.0,23.8,-1.83,-28.99,21.97,-7.02
46,0.0,0.0,0.0,0.0,-0.0,0.0,-16.95,-17.45,0.0,-0.0,32.83,-2.69,-34.4,30.15,-4.25
49,-0.0,-0.0,-0.0,0.0,0.0,0.0,-16.03,-18.4,0.0,-0.0,33.3,-2.55,-34.43,30.76,-3.67
52,-0.0,0.0,0.0,-0.0,-0.0,0.0,-16.55,-20.6,-0.0,0.0,34.02,-2.41,-37.15,31.61,-5.54
