Frames,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,684.2480838,1506.84994,2036.027665,186.5348503,102.9611677,-101.2499102,-1306.134731,-11505.97305,726.8986527,7816.272814,-2080.001198,82.16904192,146.4351796,-1997.832186,-1851.397305
SD,,,,,,,,,,,,,,,
SEM,,,,,,,,,,,,,,,
