POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
544,653.74,1532.12,1962.44,180.22,103.33,-103.56,-1291.15,-11105.54,699.88,7159.92,-2173.97,54.08,0.0,-208.61,-2119.9,-2328.51
547,661.79,1470.74,1969.46,178.24,106.72,-89.41,-1273.06,-11068.82,685.73,7176.28,-2224.47,55.31,0.0,-182.32,-2169.17,-2351.49
550,672.67,1480.58,1961.3,185.35,98.39,-90.46,-1298.01,-11156.48,668.33,7174.08,-2123.35,54.93,0.0,-304.27,-2068.42,-2372.69
553,653.07,1498.43,1944.49,177.65,100.65,-99.09,-1251.93,-11042.91,693.48,7150.01,-2204.98,54.63,0.0,-176.15,-2150.35,-2326.5
556,622.12,1499.88,1982.05,184.75,95.34,-106.97,-1301.57,-11190.04,716.49,7162.91,-2066.4,53.41,0.0,-335.05,-2012.99,-2348.04
559,628.16,1475.12,1975.0,176.71,93.47,-103.65,-1301.33,-11147.21,698.77,7179.84,-2110.65,53.87,0.0,-325.11,-2056.78,-2381.9
562,696.12,1466.3,1979.69,166.73,115.84,-105.78,-1296.13,-11055.84,692.92,7075.84,-2156.02,53.81,0.0,-264.3,-2102.21,-2366.51
565,651.39,1494.46,1933.66,177.79,111.17,-101.13,-1296.39,-11012.28,698.8,7139.84,-2204.4,53.52,0.0,-202.67,-2150.88,-2353.54
568,643.18,1504.49,1985.27,172.32,115.11,-102.19,-1292.14,-11022.02,698.52,7153.99,-2275.08,53.84,0.0,-143.47,-2221.24,-2364.71
571,651.95,1476.77,1976.8,182.66,99.51,-92.57,-1305.28,-11169.81,719.38,7176.29,-2139.92,52.67,0.0,-284.31,-2087.25,-2371.56
574,647.89,1488.21,1983.7,180.41,107.56,-95.29,-1311.72,-11038.78,681.33,7114.26,-2209.08,53.85,0.0,-242.43,-2155.23,-2397.66
577,671.97,1457.18,1980.4,186.27,119.75,-102.68,-1298.08,-11123.25,694.8,7139.17,-2187.45,54.03,0.0,-274.48,-2133.42,-2407.9
580,677.26,1478.41,1988.8,186.9,93.23,-97.62,-1300.74,-11158.09,695.19,7177.06,-2116.96,53.59,0.0,-259.59,-2063.37,-2322.96
583,652.04,1495.88,1954.15,185.59,91.11,-104.5,-1293.52,-11163.52,705.18,7171.45,-2089.2,52.83,0.0,-306.15,-2036.37,-2342.53
586,659.5,1477.55,1964.02,187.18,98.85,-102.53,-1316.56,-11004.14,681.14,7094.94,-2231.85,53.13,0.0,-260.05,-2178.72,-2438.77
589,678.61,1464.54,1994.53,187.89,106.02,-90.3,-1339.52,-11108.54,679.63,7120.44,-2126.16,52.54,0.0,-306.69,-2073.61,-2380.3
592,680.66,1491.95,1950.43,186.76,105.94,-92.6,-1308.56,-10979.27,677.73,7073.97,-2223.96,53.9,0.0,-213.0,-2170.06,-2383.06
595,710.44,1436.08,1993.36,177.23,110.85,-97.13,-1305.68,-11092.28,684.66,7174.81,-2168.72,54.16,0.0,-207.66,-2114.56,-2322.22
