Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-13.92,-11.02,19.38,-1.88,-24.94,17.5,-7.44
SD,12.03,12.51,17.98,1.56,22.52,16.53,6.8
SEM,0.66,0.68,0.98,0.09,1.23,0.9,0.37
