Frames,TDC
1,91.29
4,121.79
7,92.34
10,113.87
13,91.06
16,109.79
19,86.25
22,79.28
25,84.7
28,88.12
31,106.75
34,104.47
37,141.66
40,115.27
43,92.7
46,98.51
49,95.73
52,92.27
55,79.64
58,98.54
61,101.15
64,107.43
67,118.77
70,105.97
73,90.45
76,97.5
79,103.07
82,118.54
85,82.23
88,99.22
91,95.48
94,91.6
97,81.92
100,89.51
103,98.41
106,90.91
109,115.25
112,101.63
115,94.03
118,105.23
121,113.74
124,96.98
127,92.85
130,110.99
133,87.95
136,106.67
139,92.89
142,86.28
145,87.54
148,107.46
151,109.18
154,137.32
157,133.35
160,117.37
163,128.32
166,121.65
169,116.19
172,105.97
175,108.41
178,102.8
181,124.33
184,125.46
187,102.21
190,97.97
193,108.36
196,97.88
199,86.89
202,100.64
205,80.27
208,98.17
211,81.07
214,123.75
217,95.4
220,105.19
223,88.11
226,94.98
229,113.76
232,106.24
235,104.43
238,110.29
241,99.43
244,107.15
247,123.69
250,106.32
253,104.21
256,98.03
259,118.62
262,92.44
265,114.32
268,112.79
271,123.94
274,113.58
277,110.82
280,112.34
283,101.24
286,106.66
289,88.02
292,118.37
295,117.38
298,76.68
301,92.87
304,106.93
307,98.06
310,115.4
313,96.12
316,96.44
319,109.85
322,109.16
325,114.94
328,119.32
331,84.38
334,75.33
337,98.2
340,110.4
343,104.7
346,112.42
349,109.24
352,107.02
355,126.65
358,110.01
361,81.63
364,120.54
367,111.71
370,114.99
373,116.9
376,102.47
379,116.02
382,112.58
385,103.06
388,101.44
391,113.71
394,113.4
397,77.85
400,97.53
403,98.47
406,89.47
409,130.0
412,111.02
415,117.55
418,127.57
421,115.9
424,104.25
427,102.63
430,101.27
433,94.49
436,97.56
439,107.77
442,107.15
445,91.22
448,81.65
451,126.61
454,100.15
457,86.69
460,127.79
463,94.64
466,110.93
469,88.54
472,115.16
475,87.72
478,108.89
481,115.15
484,104.68
487,96.44
490,99.15
493,120.95
496,103.72
499,86.71
502,104.41
505,88.87
508,102.01
511,118.15
514,98.56
517,104.0
520,109.15
523,121.72
526,87.76
529,106.11
532,101.82
535,114.06
538,96.75
541,98.8
544,103.17
547,108.07
550,122.14
553,99.61
556,98.08
559,109.45
562,90.18
565,113.85
568,99.74
571,102.9
574,118.66
577,104.68
580,99.16
583,115.83
586,123.12
589,100.92
592,116.63
595,108.29
598,112.76
601,87.49
604,85.06
607,118.27
610,119.59
613,102.36
616,103.25
619,93.34
622,126.65
625,120.18
628,118.14
631,129.15
634,78.67
637,113.3
640,109.75
643,83.65
646,108.98
649,94.42
652,85.28
655,115.26
658,98.54
661,92.36
664,121.76
667,106.88
670,90.0
673,96.58
676,105.95
679,112.57
682,114.04
685,99.54
688,82.05
691,97.84
694,97.49
697,87.89
700,103.11
703,118.8
706,100.14
709,77.6
712,100.92
715,73.92
718,88.22
721,121.55
724,115.62
727,102.16
730,95.89
733,146.32
736,133.98
739,116.07
742,96.23
745,127.69
748,104.29
751,115.82
754,117.83
757,95.7
760,94.78
763,112.86
766,88.78
769,130.47
772,108.91
775,133.11
778,112.65
781,89.75
784,132.02
787,98.72
790,121.8
793,124.85
796,107.87
799,123.95
802,84.35
805,147.59
808,102.66
811,93.24
814,84.93
817,98.32
820,106.84
823,120.87
826,80.98
829,117.89
832,103.27
835,123.27
838,114.29
841,119.26
844,81.71
847,107.89
850,96.66
853,132.4
856,104.87
859,97.73
862,86.71
865,97.07
868,100.72
871,95.41
874,107.9
877,106.52
880,104.31
883,109.26
886,105.67
889,111.95
892,83.89
895,91.87
898,122.64
901,112.41
904,105.21
907,99.09
910,89.53
913,102.49
916,94.39
919,93.97
922,94.12
925,111.41
928,103.38
931,98.0
934,99.3
937,107.78
940,94.53
943,107.53
946,124.33
949,114.21
952,119.82
955,112.08
958,111.22
961,119.94
964,100.81
967,89.31
970,112.65
973,103.17
976,105.42
979,100.87
982,103.53
985,105.92
988,109.95
991,115.8
994,99.98
997,98.88
1000,98.61
