Frames,VDWAALS,EEL,EPB,ENPOLAR,GGAS,GSOLV,TOTAL
Average,-3.18,-1.86,4.04,-0.45,-5.04,3.6,-1.44
SD,8.4,6.06,10.99,1.12,13.4,9.93,3.71
SEM,0.46,0.33,0.6,0.06,0.73,0.54,0.2
